_rank|_name|_score|_link|head|emotion|color shade|eye|clothing|house of|texture|unique|class|name|backdrop|mouth
343|BitToonDAO #279|232.06345256791587|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/279|Frog Head|None|Cosmic Lovie|None|Leather Jacket|Farmer|Plastic||||Butterfly Wings|None
344|BitToonDAO #488|231.6592413100224|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/488|None|None|Silver Lavandie|None|None|Tiger|Plastic||||Guitar|Pipe
345|BitToonDAO #93|231.1614264757399|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/93|Pirate Hat|None|Emerald Jettie|Eye Pad|Kid's Overalls|Gold|Plastic||||Oxygen Tank|None
346|BitToonDAO #511|230.84733275337027|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/511|Pirate Hat|None|Ocean Canarie|Eye Pad|Kid's Overalls|Dreamer|Plastic||||Backpack|None
347|BitToonDAO #579|230.4553639779548|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/579|Lovelove Headband|None|Ocean Canarie|None|Superstar Sweater|Queen|Metal||||Butterfly Wings|None
348|BitToonDAO #193|230.3169702642453|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/193|Undercut|None|Autumn Lillie|None|Oriental Uniform|Tiger|Plastic||||Skateboard|None
349|BitToonDAO #454|229.99803113755445|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/454|Chubby Unicorn|None|Morning Galaxie|None|Count|Prophet|Plastic||||Oxygen Tank|Crow Beak
350|BitToonDAO #139|229.84583145029475|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/139|Frog Head|None|Aurora Mistie|None|Superstar Sweater|Chef|Plastic||||RPG|None
351|BitToonDAO #519|229.80336261722624|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/519|Pirate Hat|None|Ocean Canarie|Eye Pad|Leather Jacket|Farmer|Plastic||||Oxygen Tank|None
352|BitToonDAO #337|229.33069205632617|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/337|Devil Horns|None|Elegant Goldie|Cyclops|T-Shirt|Tiger|Jelly Bowl||||Guitar|None
353|BitToonDAO #55|229.27328922601444|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/55|Devil Horns|None|Elegant Goldie|Eyeglasses|T-Shirt|Dragon|Jelly Bowl||||Oxygen Tank|None
354|BitToonDAO #281|229.02187833270446|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/281|Farmer Hat|None|Forest Pinkie|None|Superstar Sweater|Cash|Metal||||BitToon Flag|None
