_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
79|🟢+523|BitToonDAO #988|203.4079174642355|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/988|Devil Wings||Kid's Overalls|Silver Lavandie|None|Snorkeling Goggles|Bunny Ears|Tiger|None||Jelly Bowl|
80|🟢+522|BitToonDAO #981|203.00728849733022|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/981|Racket||Count|Sunset Rubie|None|None|Pompadour|Dragon|None||Plastic|
81|🔴-27|BitToonDAO #56|202.1570281574322|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/56|Devil Wings||None|Black Matterie|None|Confused Glasses|Robinhood Hat|Blockchain|Pacifier||Mummy|
82|🔴-23|BitToonDAO #118|201.37112820036288|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/118|Oxygen Tank||Leather Jacket|Flamingo Zirconie|None|None|Chef Hat|Tiger|Bandage||Jelly Bowl|
83|🔴-1|BitToonDAO #191|201.29259703007935|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/191|Butterfly Wings||Oriental Uniform|Allpeach Varitie|Angry|None|Farmer Hat|Tiger|None||Plastic|
84|🟢+518|BitToonDAO #762|201.278909324281|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/762|Backpack||Oriental Uniform|Cosmic Lovie|None|None|Tengu Mask|Media|Moustache||Clay Dough|
85|🔴-50|BitToonDAO #338|201.2379437397387|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/338|Devil Wings||Gradient Shirt|Emerald Jettie|None|Goggles|Tribal Hat|Bull|Crow Beak||Plastic|
86|🟢+516|BitToonDAO #904|201.2080968876542|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/904|Guitar||Kid's Overalls|Cosmic Lovie|None|Snorkeling Goggles|Chef Hat|Blockchain|None||Jelly Bowl|
87|🟢+515|BitToonDAO #969|200.88879313968556|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/969|Devil Wings||Fur Coat|Sunset Rubie|None|Snorkeling Goggles|Viking Hat|Virus|None||Jelly Bowl|
88|🔴-51|BitToonDAO #533|200.72579560553189|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/533|Oxygen Tank||Kid's Overalls|Flamingo Zirconie|None|Thug Life|Chef Hat|Farmer|None||Jelly Bowl|
89|🟢+513|BitToonDAO #984|200.72208326732357|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/984|Skateboard||Fur Coat|Elegant Goldie|None|Snorkeling Goggles|Hat|Phoenix|None||Jelly Bowl|
90|🔴-79|BitToonDAO #106|200.47034964195413|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/106|Racket||None|Dusty Cyanie|None|Eyeglasses|Santa Hat|Bear|Moustache||Mummy|
91|🟢+511|BitToonDAO #913|200.46811485198154|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/913|Skateboard||Gradient Shirt|Billiard Whitie|None|Goggles|Tribal Hat|Cash|Crow Beak||Ceramic|
92|🟢+510|BitToonDAO #763|200.119021690985|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/763|Backpack||T-Shirt|Dusty Cyanie|None|3D Goggles|Cat Ears|Cypher|Moustache||Plastic|
93|🟢+27|BitToonDAO #258|199.80091103938545|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/258|BitToon Flag||T-Shirt|Dusty Cyanie|None|Cyclops|Cap|Tiger|Moustache||Plastic|
94|🟢+508|BitToonDAO #690|199.5001897318981|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/690|None||Leather Jacket|Black Matterie|None|None|Cat Earphones|Government|None||Plastic|
95|🟢+507|BitToonDAO #949|199.27015237113207|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/949|Racket||Kid's Overalls|Morning Galaxie|None|Bozo Glasses|None|Chef|None||Plastic|
96|🔴-1|BitToonDAO #563|199.06232580083645|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/563|Wooden Staff||Oriental Uniform|Morning Galaxie|Blushy|Eyeglasses|Chubby Unicorn|Queen|None||Plastic|
97|🟢+505|BitToonDAO #858|198.93643119784747|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/858|Oxygen Tank||None|Scalet Bluie|None|Confused Glasses|Robinhood Hat|Prophet|Lollipop||Mummy|
98|🔴-18|BitToonDAO #267|198.80246863971547|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/267|Skateboard||T-Shirt|Sunset Rubie|None|3D Goggles|Cat Ears|Chef|Crow Beak||Plastic|
