_rank|📈|_name|_score|_link|backdrop|class|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
740|🔴-242|BitToonDAO #357|108.09277966629266|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/357|BitToon Flag||None|Morning Galaxie|None|Cyclops|Crown|Dreamer|None||Mummy|
741|🔴-309|BitToonDAO #446|107.8835303558659|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/446|Devil Wings||None|Aurora Mistie|None|None|Lovelove Headband|Market|None||Plastic|
742|🔴-315|BitToonDAO #581|107.81974041682041|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/581|Double Chups||T-Shirt|Morning Galaxie|None|3D Goggles|Undercut|Virus|Pacifier||Plastic|
743|🔴-365|BitToonDAO #593|107.77907532018149|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/593|RPG||Kid's Overalls|Scalet Bluie|None|None|Frog Head|Phoenix|None||Ceramic|
744|🔴-406|BitToonDAO #228|107.70439349510211|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/228|Devil Wings||None|Aurora Mistie|None|None|Chubby Unicorn|Bot|None||Plastic|
745|🔴-349|BitToonDAO #339|107.68897458002833|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/339|Oxygen Tank||T-Shirt|Billiard Whitie|None|Cyclops|Crown|Angel|Duckie||Ceramic|
746|🔴-321|BitToonDAO #107|107.55683204663399|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/107|Butterfly Wings||Peony Shirt|Forest Pinkie|None|Eyeglasses|Witch Hat|Virus|None||Plastic|
747|🔴-240|BitToonDAO #525|107.54728925595782|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/525|Devil Wings||None|Sunset Rubie|None|None|Lovelove Headband|Dreamer|None||Clay Dough|
748|🔴-399|BitToonDAO #454|107.18485471824467|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/454|Oxygen Tank||Count|Morning Galaxie|None|None|Chubby Unicorn|Prophet|Crow Beak||Plastic|
749|🔴-147|BitToonDAO #720|107.16616243141888|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/720|Butterfly Wings||Leather Jacket|Ocean Canarie|None|None|Chubby Unicorn|Turtle|Pacifier||Metal|
750|🔴-148|BitToonDAO #635|107.09595434956361|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/635|Guitar||Leather Jacket|Dusty Cyanie|None|None|Cat Earphones|Giant|Pipe||Jelly Bowl|
751|🔴-149|BitToonDAO #695|107.09247816632653|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/695|RPG||Count|Forest Pinkie|None|None|Chubby Unicorn|Cypher|None||Metal|
752|🔴-231|BitToonDAO #70|107.05648091880495|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/70|Oxygen Tank||T-Shirt|Silver Lavandie|None|3D Goggles|Crown|Demon|Pipe||Metal|
753|🔴-245|BitToonDAO #403|106.9747385078163|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/403|Double Chups||T-Shirt|Silver Lavandie|None|Cyclops|Crown|Bank|Pipe||Metal|
754|🔴-152|BitToonDAO #881|106.93073900070343|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/881|Guitar||Peony Shirt|Dusty Cyanie|None|None|Lovelove Headband|Bank|Pipe||Plastic|
755|🔴-153|BitToonDAO #809|106.91665219000988|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/809|Backpack||Kid's Overalls|Forest Pinkie|None|None|Reindeer Hoodie|Bear|None||Ceramic|
756|🔴-296|BitToonDAO #391|106.88351887595239|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/391|Butterfly Wings||Oriental Uniform|Billiard Whitie|None|None|Lovelove Headband|Market|Duckie||Plastic|
757|🔴-350|BitToonDAO #51|106.61330923293244|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/51|Guitar||T-Shirt|Ocean Canarie|None|None|Pumpkin Head|Media|Pipe||Plastic|
758|🔴-156|BitToonDAO #875|106.58706987242161|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/875|BitToon Flag||T-Shirt|Aurora Mistie|None|Eyeglasses|Chubby Unicorn|King|None||Plastic|
759|🔴-239|BitToonDAO #21|106.50812942298556|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/21|Guitar||Superstar Sweater|Ocean Canarie|None|None|Reindeer Hoodie|Bear|None||Metal|
760|🔴-158|BitToonDAO #620|106.25741079851697|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/620|Backpack||Kid's Overalls|Scalet Bluie|None|None|Chubby Unicorn|Queen|None||Ceramic|
761|🔴-443|BitToonDAO #43|106.25648123879225|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/43|Skateboard||Leather Jacket|Flamingo Zirconie|None|None|Cat Earphones|Virus|Pipe||Jelly Bowl|
762|🔴-160|BitToonDAO #638|106.23573192889208|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/638|BitToon Flag||Leather Jacket|Flamingo Zirconie|None|None|Frog Head|Bull|Pipe||Plastic|
763|🔴-321|BitToonDAO #308|106.04452035467622|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/308|Guitar||T-Shirt|Billiard Whitie|None|Cyclops|Crown|Virus|Duckie||Ceramic|
764|🔴-162|BitToonDAO #909|106.01893660229884|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/909|Oxygen Tank||T-Shirt|Scalet Bluie|None|Eyeglasses|Undercut|Bull|None||Jelly Bowl|
765|🔴-254|BitToonDAO #314|105.94943203670546|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/314|Backpack||Leather Jacket|Ocean Canarie|None|None|Reindeer Hoodie|Demon|None||Metal|
766|🔴-164|BitToonDAO #925|105.80370476469919|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/925|Oxygen Tank||T-Shirt|Forest Pinkie|None|Eye Pad|Pirate Hat|Dragon|None||Plastic|
767|🔴-165|BitToonDAO #710|105.794630560382|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/710|Double Chups||T-Shirt|Silver Lavandie|None|3D Goggles|Crown|Virus|Pipe||Metal|
768|🔴-166|BitToonDAO #831|105.79249015277716|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/831|Guitar||Peony Shirt|Dusty Cyanie|None|None|Farmer Hat|Market|Pipe||Plastic|
769|🔴-310|BitToonDAO #364|105.77516581909765|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/364|Guitar||Leather Jacket|Dusty Cyanie|None|None|Santa Hat|Turtle|Pipe||Jelly Bowl|
770|🔴-314|BitToonDAO #594|105.72019190220486|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/594|Devil Wings||None|Aurora Mistie|None|None|Farmer Hat|Bear|None||Plastic|
771|🔴-296|BitToonDAO #253|105.57539591777618|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/253|Devil Wings||Oriental Uniform|Elegant Goldie|None|None|Chubby Unicorn|Gold|Moustache||Jelly Bowl|
772|🔴-170|BitToonDAO #649|105.57096288753583|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/649|Skateboard||T-Shirt|Silver Lavandie|None|Cyclops|Crown|Farmer|Pipe||Metal|
773|🔴-416|BitToonDAO #166|105.4805715191464|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/166|Double Chups||Leather Jacket|Ocean Canarie|None|None|Witch Hat|Media|None||Metal|
774|🔴-172|BitToonDAO #919|105.45502226108476|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/919|BitToon Flag||T-Shirt|Aurora Mistie|None|None|Farmer Hat|Virus|None||Plastic|
775|🔴-173|BitToonDAO #853|105.4218827234609|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/853|Devil Wings||None|Aurora Mistie|None|None|Witch Hat|Farmer|None||Plastic|
776|🔴-337|BitToonDAO #174|105.17731421003997|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/174|Butterfly Wings||None|Forest Pinkie|None|Eye Pad|Pirate Hat|Seed|None||Plastic|
777|🔴-414|BitToonDAO #288|105.14523330488285|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/288|Double Chups||Leather Jacket|Emerald Jettie|None|None|Reindeer Hoodie|Media|None||Plastic|
778|🔴-309|BitToonDAO #415|105.11640695908248|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/415|Devil Wings||Oriental Uniform|Elegant Goldie|None|None|Witch Hat|Seed|Moustache||Jelly Bowl|
779|🔴-297|BitToonDAO #493|105.08222704983076|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/493|Skateboard||None|Elegant Goldie|None|Cyclops|Crown|Gold|None||Mummy|
780|🔴-295|BitToonDAO #123|104.99470809280574|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/123|Guitar||T-Shirt|Dusty Cyanie|None|Cyclops|Crown|Farmer|Moustache||Plastic|
781|🔴-179|BitToonDAO #721|104.93960197022338|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/721|BitToon Flag||Count|Morning Galaxie|None|None|Pumpkin Head|Miner|None||Plastic|
782|🔴-180|BitToonDAO #932|104.71080220100322|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/932|Devil Wings||T-Shirt|Dusty Cyanie|None|3D Goggles|Undercut|Angel|Moustache||Plastic|
783|🔴-274|BitToonDAO #395|104.6904165944576|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/395|Guitar||None|Flamingo Zirconie|None|None|Chubby Unicorn|Empress|None||Clay Dough|
784|🔴-291|BitToonDAO #147|104.57297230454486|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/147|Butterfly Wings||T-Shirt|Sunset Rubie|None|Eyeglasses|Witch Hat|Cypher|None||Clay Dough|
785|🔴-355|BitToonDAO #599|104.51298090619832|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/599|BitToon Flag||T-Shirt|Ocean Canarie|None|Eye Pad|Pirate Hat|Gold|None||Plastic|
786|🔴-320|BitToonDAO #549|104.30128044788901|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/549|Devil Wings||None|Elegant Goldie|None|Cyclops|Crown|Market|None||Mummy|
787|🔴-185|BitToonDAO #819|104.28924655269405|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/819|Butterfly Wings||Kid's Overalls|Forest Pinkie|None|None|Farmer Hat|Vampire|None||Plastic|
788|🔴-186|BitToonDAO #889|104.22131161991786|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/889|Guitar||None|Flamingo Zirconie|None|None|Witch Hat|Bull|None||Clay Dough|
789|🔴-328|BitToonDAO #278|104.21707727908463|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/278|Butterfly Wings||T-Shirt|Sunset Rubie|None|Eyeglasses|Chubby Unicorn|Officer|None||Clay Dough|
790|🔴-344|BitToonDAO #203|104.21688870724192|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/203|Oxygen Tank||Kid's Overalls|Autumn Lillie|None|None|Chubby Unicorn|Farmer|None||Jelly Bowl|
791|🔴-357|BitToonDAO #461|104.16059141789586|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/461|Butterfly Wings||Kid's Overalls|Ocean Canarie|None|None|Pumpkin Head|Bot|None||Plastic|
792|🔴-190|BitToonDAO #774|104.08284860069796|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/774|BitToon Flag||None|Flamingo Zirconie|None|Eye Pad|Pirate Hat|Turtle|None||Plastic|
793|🔴-191|BitToonDAO #785|104.06224048363615|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/785|Devil Wings||T-Shirt|Forest Pinkie|None|None|Farmer Hat|Officer|None||Jelly Bowl|
794|🔴-192|BitToonDAO #922|103.57469799603513|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/922|Devil Wings||T-Shirt|Aurora Mistie|None|None|Reindeer Hoodie|Market|None||Plastic|
795|🔴-193|BitToonDAO #852|103.52434780682603|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/852|Butterfly Wings||Peony Shirt|Silver Lavandie|None|None|Pumpkin Head|Demon|None||Jelly Bowl|
796|🔴-286|BitToonDAO #572|103.32994534990976|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/572|Guitar||Peony Shirt|Dusty Cyanie|None|None|Pumpkin Head|Cash|Pipe||Plastic|
797|🔴-251|BitToonDAO #465|103.23016649358529|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/465|Guitar||Oriental Uniform|Silver Lavandie|None|None|Pumpkin Head|Cypher|Duckie||Plastic|
798|🔴-196|BitToonDAO #783|103.18228296244591|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/783|Guitar||Count|Ocean Canarie|None|None|Reindeer Hoodie|King|None||Plastic|
799|🔴-361|BitToonDAO #350|102.93360768758663|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/350|RPG||None|Dusty Cyanie|None|Eye Pad|Pirate Hat|Dragon|None||Plastic|
800|🔴-198|BitToonDAO #869|102.89136555203754|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/869|Guitar||None|Silver Lavandie|None|Eye Pad|Pirate Hat|Market|None||Plastic|
801|🔴-383|BitToonDAO #170|102.65937796311933|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/170|Guitar||Oriental Uniform|Silver Lavandie|None|None|Farmer Hat|Prophet|Duckie||Plastic|
802|🔴-200|BitToonDAO #953|102.57962456290396|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/953|Devil Wings||Oriental Uniform|Autumn Lillie|None|None|Undercut|Bear|None||Plastic|
803|🔴-335|BitToonDAO #45|102.49406637004603|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/45|BitToon Flag||Peony Shirt|Sunset Rubie|None|Cyclops|Chubby Unicorn|Giant|None||Metal|
804|🔴-361|BitToonDAO #217|102.48235109631922|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/217|Butterfly Wings||T-Shirt|Sunset Rubie|None|None|Frog Head|King|None||Clay Dough|
805|🔴-416|BitToonDAO #442|102.48089030415989|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/442|Guitar||Superstar Sweater|Sunset Rubie|None|None|Farmer Hat|Prophet|None||Plastic|
806|🔴-319|BitToonDAO #252|102.41882919690258|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/252|Devil Wings||T-Shirt|Aurora Mistie|None|None|Frog Head|Cash|None||Plastic|
807|🔴-350|BitToonDAO #444|102.41065564914939|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/444|Guitar||Kid's Overalls|Scalet Bluie|None|Eye Pad|Pirate Hat|Cypher|None||Plastic|
808|🔴-206|BitToonDAO #618|102.30802925612696|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/618|Skateboard||Leather Jacket|Elegant Goldie|None|None|Cat Earphones|Cash|None||Ceramic|
809|🔴-207|BitToonDAO #979|102.22894890581856|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/979|Double Chups||Kid's Overalls|Ocean Canarie|None|None|Cat Earphones|Giant|None||Plastic|
810|🔴-293|BitToonDAO #299|102.02275537506169|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/299|BitToon Flag||Leather Jacket|Silver Lavandie|None|Cyclops|Undercut|Bear|Pipe||Metal|
811|🔴-316|BitToonDAO #432|101.97533474860433|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/432|Guitar||Superstar Sweater|Sunset Rubie|None|None|Pumpkin Head|Turtle|None||Plastic|
812|🔴-326|BitToonDAO #238|101.96781798126548|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/238|Butterfly Wings||Kid's Overalls|Forest Pinkie|None|None|Lovelove Headband|Bubble|None||Plastic|
813|🔴-211|BitToonDAO #671|101.82397701221373|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/671|Guitar||Count|Flamingo Zirconie|None|None|Cat Earphones|Gold|None||Plastic|
814|🔴-326|BitToonDAO #212|101.82346172399501|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/212|Devil Wings||T-Shirt|Silver Lavandie|None|3D Goggles|Undercut|Dragon|Pipe||Metal|
815|🔴-273|BitToonDAO #167|101.708474790953|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/167|Butterfly Wings||Peony Shirt|Silver Lavandie|None|None|Frog Head|Demon|None||Jelly Bowl|
816|🔴-280|BitToonDAO #324|101.54210081427718|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/324|Butterfly Wings||Peony Shirt|Scalet Bluie|None|Eyeglasses|Chubby Unicorn|Chef|None||Plastic|
817|🔴-444|BitToonDAO #128|101.40676406569894|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/128|Devil Wings||Leather Jacket|Ocean Canarie|None|None|Witch Hat|Government|None||Plastic|
818|🔴-216|BitToonDAO #603|101.37234654411967|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/603|Guitar||Leather Jacket|Flamingo Zirconie|None|None|Lovelove Headband|Officer|Pipe||Plastic|
819|🔴-348|BitToonDAO #527|101.36409401341747|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/527|Devil Wings||Peony Shirt|Morning Galaxie|None|None|Reindeer Hoodie|Officer|None||Plastic|
820|🔴-218|BitToonDAO #732|101.34410224839294|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/732|Butterfly Wings||T-Shirt|Sunset Rubie|None|None|Farmer Hat|Demon|None||Clay Dough|
821|🔴-263|BitToonDAO #356|101.15391067704348|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/356|Butterfly Wings||None|Silver Lavandie|None|None|Pumpkin Head|Bank|None||Metal|
822|🔴-220|BitToonDAO #811|101.12021779569662|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/811|Butterfly Wings||None|Flamingo Zirconie|None|None|Farmer Hat|Tiger|None||Plastic|
823|🔴-221|BitToonDAO #760|100.98263798484632|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/760|Double Chups||T-Shirt|Ocean Canarie|None|Eye Pad|Pirate Hat|Seed|None||Plastic|
824|🔴-348|BitToonDAO #316|100.95745490798046|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/316|RPG||Oriental Uniform|Ocean Canarie|None|None|Frog Head|Prophet|None||Plastic|
825|🔴-328|BitToonDAO #467|100.94377511554825|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/467|Guitar||Leather Jacket|Flamingo Zirconie|None|None|Farmer Hat|Bank|Pipe||Plastic|
826|🔴-224|BitToonDAO #841|100.93530155846511|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/841|Butterfly Wings||Oriental Uniform|Billiard Whitie|None|None|Frog Head|Seed|Duckie||Plastic|
827|🔴-292|BitToonDAO #285|100.72462591898952|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/285|Guitar||None|Flamingo Zirconie|None|None|Lovelove Headband|Gold|None||Clay Dough|
828|🔴-226|BitToonDAO #806|100.69488518197753|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/806|BitToon Flag||Kid's Overalls|Forest Pinkie|None|None|Tribal Hat|Bank|None||Jelly Bowl|
829|🔴-470|BitToonDAO #401|100.63202381485661|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/401|BitToon Flag||Leather Jacket|Scalet Bluie|None|None|Farmer Hat|Bot|None||Plastic|
830|🔴-330|BitToonDAO #178|100.58863894569943|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/178|Guitar||Kid's Overalls|Forest Pinkie|None|None|Pumpkin Head|Officer|None||Plastic|
831|🔴-300|BitToonDAO #387|100.57090123262209|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/387|Butterfly Wings||Peony Shirt|Silver Lavandie|None|None|Witch Hat|Dreamer|None||Jelly Bowl|
832|🔴-230|BitToonDAO #966|100.55658153114724|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/966|Devil Wings||Leather Jacket|Dusty Cyanie|None|None|Crown|Officer|Duckie||Jelly Bowl|
833|🔴-231|BitToonDAO #728|100.48393490263584|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/728|Double Chups||Oriental Uniform|Silver Lavandie|None|None|Witch Hat|Blockchain|None||Ceramic|
834|🔴-297|BitToonDAO #3|100.37967127156466|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/3|Skateboard||Leather Jacket|Elegant Goldie|None|None|Hat|Bear|Pipe||Jelly Bowl|
835|🔴-323|BitToonDAO #88|100.3399222316126|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/88|Devil Wings||None|Emerald Jettie|None|None|Frog Head|Miner|None||Plastic|
836|🔴-234|BitToonDAO #914|100.33958078173643|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/914|Butterfly Wings||Peony Shirt|Silver Lavandie|None|None|Farmer Hat|Angel|None||Jelly Bowl|
837|🔴-297|BitToonDAO #418|100.33794939169074|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/418|Guitar||Oriental Uniform|Silver Lavandie|None|None|Lovelove Headband|Gold|Duckie||Plastic|
838|🔴-383|BitToonDAO #256|100.16955760864786|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/256|Backpack||Leather Jacket|Elegant Goldie|None|None|Undercut|Virus|None||Ceramic|
839|🔴-335|BitToonDAO #111|100.1563344598012|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/111|RPG||Oriental Uniform|Ocean Canarie|None|None|Reindeer Hoodie|Turtle|None||Plastic|
840|🔴-301|BitToonDAO #246|100.14817265916874|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/246|Skateboard||Leather Jacket|Elegant Goldie|None|None|Hat|Bear|Duckie||Jelly Bowl|
841|🔴-239|BitToonDAO #683|99.74210616441354|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/683|BitToon Flag||T-Shirt|Elegant Goldie|None|Cyclops|Robinhood Hat|Prophet|None||Plastic|
842|🔴-240|BitToonDAO #651|99.69155279656863|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/651|Guitar||None|Sunset Rubie|None|None|Farmer Hat|Giant|None||Metal|
843|🔴-349|BitToonDAO #266|99.67810732876455|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/266|BitToon Flag||Leather Jacket|Emerald Jettie|None|None|Crown|Cash|Pipe||Jelly Bowl|
844|🔴-366|BitToonDAO #340|99.62752552674377|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/340|Backpack||T-Shirt|Aurora Mistie|None|None|Chubby Unicorn|Dragon|None||Jelly Bowl|
845|🔴-312|BitToonDAO #250|99.58401460625694|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/250|Butterfly Wings||Kid's Overalls|Flamingo Zirconie|None|None|Reindeer Hoodie|Queen|None||Plastic|
846|🔴-244|BitToonDAO #742|99.47627814737947|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/742|BitToon Flag||Leather Jacket|Flamingo Zirconie|None|None|Reindeer Hoodie|Bank|Pipe||Plastic|
847|🔴-245|BitToonDAO #669|99.4614619183335|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/669|Skateboard||None|Elegant Goldie|None|None|Cat Earphones|Officer|None||Plastic|
848|🔴-246|BitToonDAO #845|99.31650686283879|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/845|Guitar||T-Shirt|Dusty Cyanie|None|Eyeglasses|Cat Earphones|Cash|None||Jelly Bowl|
849|🔴-247|BitToonDAO #808|99.25368533276213|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/808|Backpack||Peony Shirt|Billiard Whitie|None|None|Chubby Unicorn|Knight|None||Plastic|
850|🔴-327|BitToonDAO #347|99.21481213676618|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/347|BitToon Flag||T-Shirt|Flamingo Zirconie|None|Cyclops|Tribal Hat|Seed|Pipe||Metal|
