_rank|📈|_name|_score|_link|backdrop|clothing|color shade|emotion|eye|head|house of|mouth|name|texture|unique
1769|🔴-4|BitToonDAO #251|105.49248936913177|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/251|Guitar|None|Sunset Rubie|None|None|Pumpkin Head|Bear|None||Metal|
1770|🔴-4|BitToonDAO #1978|105.42184130534508|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1978|None|Kid's Overalls|Emerald Jettie|None|None|Witch Hat|Queen|None||Plastic|
1771|🔴-4|BitToonDAO #1918|105.41550033749175|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1918|Guitar|Kid's Overalls|Black Matterie|None|None|Witch Hat|Empress|None||Ceramic|
1772|🔴-4|BitToonDAO #1706|105.39522102735248|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1706|Backpack|Kid's Overalls|Scalet Bluie|None|None|Farmer Hat|Prophet|None||Ceramic|
1773|🔴-19|BitToonDAO #1128|105.36675051929983|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1128|BitToon Flag|T-Shirt|Ocean Canarie|None|None|Frog Head|Market|Pipe||Plastic|
1774|🔴-4|BitToonDAO #2082|105.34056276783959|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2082|Oxygen Tank|T-Shirt|Forest Pinkie|None|None|Cat Earphones|Media|Pipe||Plastic|
1775|🔴-1|BitToonDAO #527|105.3225449006988|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/527|Devil Wings|Peony Shirt|Morning Galaxie|None|None|Reindeer Hoodie|Officer|None||Plastic|
1776|🔴-5|BitToonDAO #874|105.3002643582392|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/874|Butterfly Wings|T-Shirt|Dusty Cyanie|None|Eyeglasses|Witch Hat|Bubble|None||Plastic|
1777|🔴-25|BitToonDAO #1493|105.29595662227113|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1493|Devil Wings|Kid's Overalls|Ocean Canarie|None|None|Pompadour|Bull|None||Plastic|
1778|🔴-18|BitToonDAO #1406|105.27070619806297|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1406|BitToon Flag|Kid's Overalls|Flamingo Zirconie|None|None|None|Dragon|Lollipop||Plastic|
1779|🔴-23|BitToonDAO #1222|105.26114236256183|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1222|Double Chups|Leather Jacket|Morning Galaxie|None|Bozo Glasses|None|Vampire|None||Plastic|
1780|🔴-5|BitToonDAO #1849|105.24176707558374|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1849|Butterfly Wings|Count|Emerald Jettie|None|None|Witch Hat|Cypher|None||Plastic|
1781|🔴-4|BitToonDAO #2060|105.22377543995886|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2060|Double Chups|Oriental Uniform|Ocean Canarie|None|Cyclops|Viking Hat|Empress|None||Plastic|
1782|🔴-4|BitToonDAO #1309|105.2185507617789|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1309|BitToon Flag|Kid's Overalls|Ocean Canarie|None|None|Pompadour|King|None||Plastic|
1783|🔴-4|BitToonDAO #2083|105.1536790572069|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2083|Devil Wings|Kid's Overalls|Emerald Jettie|None|Eyeglasses|Cat Earphones|Dreamer|None||Plastic|
1784|🔴-25|BitToonDAO #819|105.14042164882336|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/819|Butterfly Wings|Kid's Overalls|Forest Pinkie|None|None|Farmer Hat|Vampire|None||Plastic|
1785|🔴-22|BitToonDAO #802|105.07827194724061|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/802|Butterfly Wings|Kid's Overalls|Scalet Bluie|None|Eyeglasses|Lovelove Headband|Gold|None||Plastic|
1786|🔴-6|BitToonDAO #2023|105.00816130327563|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/2023|Double Chups|Kid's Overalls|Dusty Cyanie|None|None|Viking Hat|Empress|None||Clay Dough|
1787|🔴-6|BitToonDAO #818|104.95978646039124|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/818|Devil Wings|Superstar Sweater|Emerald Jettie|None|None|Lovelove Headband|Prophet|None||Plastic|
1788|🔴-6|BitToonDAO #1142|104.93225567548382|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1142|BitToon Flag|Peony Shirt|Dusty Cyanie|None|None|Pompadour|Phoenix|None||Plastic|
1789|🔴-25|BitToonDAO #207|104.84471978093862|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/207|Oxygen Tank|Oriental Uniform|Elegant Goldie|None|None|Reindeer Hoodie|Demon|None||Jelly Bowl|
1790|🔴-17|BitToonDAO #93|104.79568810182982|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/93|Oxygen Tank|Kid's Overalls|Emerald Jettie|None|Eye Pad|Pirate Hat|Gold|None||Plastic|
1791|🔴-7|BitToonDAO #1566|104.77803645394641|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1566|Angel Wings|T-Shirt|Forest Pinkie|None|None|Farmer Hat|Chef|None||Plastic|
1792|🔴-20|BitToonDAO #609|104.75789147955001|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/609|Backpack|Leather Jacket|Ocean Canarie|None|None|Frog Head|Miner|None||Metal|
1793|🔴-8|BitToonDAO #886|104.75262987582711|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/886|Guitar|T-Shirt|Forest Pinkie|None|None|Pompadour|Tiger|None||Plastic|
1794|🔴-8|BitToonDAO #1471|104.75143921615611|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1471|RPG|Oriental Uniform|Emerald Jettie|None|None|Witch Hat|Knight|None||Ceramic|
1795|🔴-8|BitToonDAO #316|104.73579097497843|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/316|RPG|Oriental Uniform|Ocean Canarie|None|None|Frog Head|Prophet|None||Plastic|
1796|🔴-27|BitToonDAO #759|104.68849458612566|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/759|Oxygen Tank|Kid's Overalls|Emerald Jettie|None|Eyeglasses|Witch Hat|Pirate|None||Plastic|
1797|🔴-6|BitToonDAO #758|104.6084304269033|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/758|Oxygen Tank|Superstar Sweater|Emerald Jettie|None|None|Frog Head|King|None||Plastic|
1798|🔴-22|BitToonDAO #909|104.56855034269215|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/909|Oxygen Tank|T-Shirt|Scalet Bluie|None|Eyeglasses|Undercut|Bull|None||Jelly Bowl|
1799|🔴-6|BitToonDAO #1268|104.52343471114044|https://opensea.io/assets/ethereum/0xf488a1ac7aadd80755ae4f081a67e1e85820a8c3/1268|Devil Wings|Leather Jacket|Morning Galaxie|None|Bozo Glasses|None|Dreamer|None||Plastic|
