rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
207|🔴-8|Nerd Ape Dao #1154|150.66449790706162|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1154|Pink|Red|Banana hawaii|Eyepatch|Adventure hat|Cigarette
208|🟢+6|Nerd Ape Dao #771|150.27260413006485|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/771|Green mint|Gray|Tuxedo|Glasses|Gold crown|Sneaky
209|🟢+1|Nerd Ape Dao #439|150.2645038557001|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/439|Pink|Black|White fur|Red Cat|Gold crown|Gum
210|🔴-5|Nerd Ape Dao #263|150.1862760911117|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/263|Pink|Black|Adventure|Solar_beam|Demon horns|Burger
211|🟢+5|Nerd Ape Dao #886|150.08052232854865|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/886|Pink|Lav|Stripedtee|Demon|Apple|Pipe
212|🔴-5|Nerd Ape Dao #1274|150.0453299583155|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1274|Yellow|Zombie|Banana hawaii|Red Cat|Green beret|Pipe
213|🟢+5|Nerd Ape Dao #1008|149.78431986717015|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1008|Light purple|Tiger|Stripedtee|Red|Green beanie|Open
214|🔴-1|Nerd Ape Dao #406|149.74952098041916|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/406|Red|Black|Tuxedo|Solar_beam|Fastfood|420
215|🔴-4|Nerd Ape Dao #782|149.73366906746134|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/782|Pink|Gray|Black turtleneck|Heart|Black top hat|Cigarette
216|🟢+1|Nerd Ape Dao #486|149.5726379048339|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/486|Green mint|Black|Red singlet|Shy|None|Sneaky
217|🟢+3|Nerd Ape Dao #1087|149.3973842878021|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1087|Pink|Zombie|Rasta hawaii|Red|Pirate hat|Grin
218|🟢+1|Nerd Ape Dao #1226|149.35680807904248|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1226|Yellow|Pink|Brown jacket|Sleepy|Fastfood|Grillz
219|🟢+2|Nerd Ape Dao #343|149.35368307710937|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/343|Yellow|Water|Sheriff|Red Cat|Green beanie|Gold Grillz
220|🔴-5|Nerd Ape Dao #772|149.18646639374404|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/772|Yellow|Light brown|Black turtleneck|Faded|Biker helmet|Tongue_out
221|🔴-9|Nerd Ape Dao #779|148.8921524883752|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/779|Beige|Cream|Lab|Heart|Cowboy hat|Cigar
222|🟢+2|Nerd Ape Dao #1190|148.75557372452113|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1190|Pink|Pink|Pink fur|Gold|Blue headscarf|Open
223|🟢+4|Nerd Ape Dao #551|148.64881906262187|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/551|Red|Water|Yellow shirt|Glasses|Apple|Cigar
224|🟢+4|Nerd Ape Dao #802|148.5553805229454|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/802|Pink|Robot|White singlet|Dizzy|Gold crown|Gold Grillz
225|🟢+1|Nerd Ape Dao #816|148.5518882224084|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/816|Yellow|Gray|Fastfood|ETH|Propeller cap|Cigar
226|🟢+4|Nerd Ape Dao #970|148.52955254758723|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/970|Blue|Lav|Brown coat|Oval|Black top hat|Cigarette
227|🔴-4|Nerd Ape Dao #434|148.49251277237164|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/434|Blue|Dark brown|White shirt ribbon|Sleepy|Gold crown|Open
228|🔴-3|Nerd Ape Dao #999|148.47582437334316|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/999|Pink|Robot|Flower Hawaii|Glasses|Pink bucket|Smile
229|🔴-7|Nerd Ape Dao #289|148.34970779633295|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/289|Beige|Dark brown|Banana hawaii|Square|Biker helmet|Pipe
