rank|name|score|link|Background|Spotlight|Particles|Left Hand|Head|Eyes|Mouth|Hairstyle|Right Hand|Outfits
103|Chibism #1685|1065.2479553351855|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1685|Orange|Spotlight|Heart|Rock|Head|Crush|Eh|Top Knot Blue|Hold|Knit Vest Green
104|Chibism #565|1063.5230058462278|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/565|Rainbow|Spotlight|Saturn|Scissors|Head|Eh|Growling|Regent Orange|Chill|Oversized Shirt Green
105|Chibism #1010|1062.693724692749|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1010|Pink|Spotlight|Butterfly|Rock|Head|Aggressive|Playful|Leave-like Green|Chill|Knit Vest Green
106|Chibism #2616|1060.1333407515415|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2616|Rainbow|Spotlight|Broken Heart|Rock|Head|Ashamed|Dumb-foundded|Short Spiky Pink|Hold|Tshirt Pink
107|Chibism #1146|1055.3053042036308|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1146|Orange|Spotlight|Shiny|Paper|Head|Chill|Growling|Short Spiky Black|Chill|Tee Im Ded
108|Chibism #2465|1053.9252961547136|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2465|Pink|Spotlight|Butterfly|Green Flower|Head|Cry|Eh|Top Knot White|Chill|Tshirt Brown
109|Chibism #833|1052.9362244488934|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/833|Green|Spotlight|Broken Heart|Purple Lolipop|Head|Chill|Irritated|Long Hair Black|Chill|Oversized Shirt Yellow
110|Chibism #2024|1052.0074388442874|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2024|Purple|Spotlight|Broken Heart|Blue Lolipop|Head|Chill|Kuhahaha|Top Knot White|Chill|Sweater Yellow
111|Chibism #1701|1046.8526141656475|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1701|Pink|Spotlight|Shiny|Paper|Head|Cry|Smile|With Hair Roller Pink|Hold|Tshirt Brown
112|Chibism #1314|1045.45407796239|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/1314|Rainbow|Spotlight|Sun Shine|Purple Lolipop|Head|Cry|Dumb-foundded|Spiky Orange|Chill|Tee And Shirt Blue
113|Chibism #2230|1044.5074031054287|https://quixotic.io/asset/0xF811F2D6256C436Ea092B2401FE175167E4BC766/2230|Green|Spotlight|Broken Heart|Blue Flower|Head|Happy|Playful|Small Pigtails Pink|Chill|Tee Im Hot
