rank|📈|name|score|link|class|outfit|eyewear|skin|headwear|special
34|🟢+284|BullMoon #1812|48.069372439761025|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1812|rare|||||-
34|🟢+284|BullMoon #1815|48.069372439761025|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1815|rare|||||-
34|🟢+284|BullMoon #1817|48.069372439761025|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1817|rare|||||-
34|🟢+284|BullMoon #1820|48.069372439761025|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1820|rare|||||-
83|🔴-19|BullMoon #21|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/21|common|||||-
83|🔴-19|BullMoon #22|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/22|common|||||-
83|🔴-19|BullMoon #23|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/23|common|||||-
83|🔴-19|BullMoon #24|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/24|common|||||-
83|🔴-19|BullMoon #25|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/25|common|||||-
83|🔴-19|BullMoon #26|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/26|common|||||-
83|🔴-19|BullMoon #27|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/27|common|||||-
83|🔴-19|BullMoon #28|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/28|common|||||-
83|🔴-19|BullMoon #29|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/29|common|||||-
83|🔴-19|BullMoon #30|23.43839794220993|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/30|common|||||-
