_rank|📈|_name|_score|_link|class|extra|eyewear|headwear|outfit|skin|special
97|🟢+350|BullMoon #1421|2039.693553990419|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1421|rare||carnival mask|leather hat|extra 1|dark pale violet|jetpack
99|🟡|BullMoon #1830|2034.2877705627704|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1830|rare||-|-|-|orange|
100|🟢+347|BullMoon #375|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/375|rare||ray ban|leather hat|polo t-shirt|light pink gray|golf bag
100|🟢+347|BullMoon #393|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/393|rare||ray ban|leather hat|polo t-shirt|vivid red|golf bag
100|🟢+347|BullMoon #398|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/398|rare||ray ban|leather hat|polo t-shirt|fresh chartreuse|golf bag
100|🟢+347|BullMoon #411|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/411|rare||ray ban|leather hat|polo t-shirt|pale cyan|golf bag
100|🟢+347|BullMoon #419|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/419|rare||ray ban|leather hat|polo t-shirt|light pastel mango|golf bag
100|🟢+347|BullMoon #428|2027.6466902794175|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/428|rare||ray ban|leather hat|polo t-shirt|light yellow|golf bag
106|🟢+341|BullMoon #1689|2025.1769283746553|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1689|rare||sci-fi 2|leather hat|armored escort set|black|armored escort set
107|🟢+340|BullMoon #1449|2019.5638331365603|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1449|rare||ray ban|leather hat|extra 1|cyan blue|jetpack
107|🟢+340|BullMoon #1553|2019.5638331365603|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1553|rare||ray ban|leather hat|extra 1|pinkish red|jetpack
107|🟢+340|BullMoon #1569|2019.5638331365603|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1569|rare||ray ban|leather hat|extra 1|fresh lavender|jetpack
110|🔴-81|BullMoon #150|1540.5797061524336|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/150|rare||classic glasses|leather hat|business suit|white|dollar earring
110|🔴-81|BullMoon #155|1540.5797061524336|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/155|rare||classic glasses|leather hat|business suit|white|dollar earring
110|🔴-84|BullMoon #156|1540.5797061524336|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/156|rare||classic glasses|leather hat|business suit|rose|dollar earring
113|🟡|BullMoon #1840|1519.2301515151516|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1840|rare||-|steampunk vintage hat|polo t-shirt|black|golf bag
114|🟢+333|BullMoon #1292|1476.2162140889413|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1292|rare||star fancy glasses|leather hat|armor set 2|pale yellow|armor set 2
115|🟢+332|BullMoon #1159|1345.9924045651317|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1159|rare||fancy star glasses|leather hat|extra 1|lychee|jetpack
116|🟢+331|BullMoon #1622|1332.1999610706935|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1622|rare||classic glasses|leather hat|business suit|silver|-
117|🟢+330|BullMoon #1529|1270.4707595434868|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1529|rare||hero mask|leather hat|armor set 2|light gray|armor set 2
118|🟢+329|BullMoon #1109|1269.5268398268397|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/1109|rare||hero mask|hair|extra 1|vivid lavender|jetpack
119|🔴-93|BullMoon #142|1226.2463728191|https://opensea.io/assets/ethereum/0xc6d12b8fc4eedea0163456697e81c8ae84bb0531/142|rare||classic glasses|leather hat|business suit|cyan|dollar earring
