rank|name|score|link|Background|Mask|Eye|Mouth|Head|Holo Suit
421|Holo Mask : Gold #217|264.16299193930774|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/217|Irvin|Sophia|Sawyer|Mabel|Maxwell Gold|Caleb Gold
421|Holo Mask : Gold #464|264.16299193930774|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/464|Sky|Anna|Parker|Layla|Maxwell Gold|Jordan Gold
421|Holo Mask : Gold #1049|264.16299193930774|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1049|Irvin|Emilia|Jose|Layla|Harrison Gold|James Gold
421|Holo Mask : Gold #1138|264.16299193930774|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1138|Sky|Samantha|Jason|Merlie|Vincent Gold|Aaron Gold
425|Holo Mask : Gold #33|263.59648807926516|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/33|Vince|Mia|Jameson|Lana|Zachary Gold|Noah Gold
426|Holo Mask : Gold #122|263.51790265359347|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/122|Irvin|Skylar|Kayden|Nira|Maxwell Gold|Logan Gold
426|Holo Mask : Gold #541|263.51790265359347|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/541|Owen|Madison|Wesley|Mayda|Cole Gold|Christopher Gold
428|Holo Mask : Gold #321|263.46492430645753|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/321|Irvin|Hazel|Kayden|Lana|Kingston Gold|Jaxon Gold
429|Holo Mask : Gold #1068|263.1604177590179|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1068|Sunshine|Genesis|Ayden|Lucia|Harrison Gold|Lincoln Gold
430|Holo Mask : Gold #1376|263.1365410114569|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1376|Sunshine|Madison|Ayden|Naya|Luca Gold|Maverick Gold
431|Holo Mask : Gold #861|262.97858796296293|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/861|Trey|Zoe|Ezekiel|Liana|Damian Gold|Theodore Gold
432|Holo Mask : Gold #274|262.8313027243638|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/274|Trey|Hazel|Jameson|Naila|Ayden Gold|Jaxon Gold
433|Holo Mask : Gold #251|262.6429648041094|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/251|Vince|Violet|Wesley|Naila|Gael Gold|Thomas Gold
434|Holo Mask : Gold #483|262.5772231078304|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/483|Vince|Audrey|Ayden|Nilda|Kingston Gold|Ezra Gold
435|Holo Mask : Gold #293|262.54055516555513|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/293|Trey|Ellie|Weston|Lilly|Bennett Gold|David Gold
436|Holo Mask : Gold #396|262.52809182244664|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/396|Sunshine|Hannah|Evan|Nora|Declan Gold|Colton Gold
437|Holo Mask : Gold #41|262.41920637476744|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/41|Trey|Evelyn|Jameson|Nina|Ivan Gold|Aiden Gold
438|Holo Mask : Gold #1163|262.3623737373738|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1163|Irvin|Natalie|Leonardo|Mila|Gael Gold|Leo Gold
439|Holo Mask : Gold #1439|262.32526317390773|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1439|Vince|Cora|Jace|Lilly|Nathaniel Gold|Aaron Gold
440|Holo Mask : Gold #420|262.20391438312004|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/420|Vince|Caroline|Luca|Nina|Silas Gold|Grayson Gold
440|Holo Mask : Gold #1092|262.20391438312004|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1092|Vince|Layla|Ayden|Nina|Cole Gold|Grayson Gold
442|Holo Mask : Gold #282|261.9502773877774|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/282|Owen|Elizabeth|Bryson|Nyla|Ryker Gole|Aiden Gold
443|Holo Mask : Gold #430|261.84947895881436|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/430|Vince|Emilia|Miles|Layla|Wesley Gold|Jacob Gold
444|Holo Mask : Gold #108|261.79829384264866|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/108|Sunshine|Ellie|Everett|Oda|Damian Gold|Aiden Gold
445|Holo Mask : Gold #154|261.611817185008|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/154|Trey|Sofia|Ezekiel|Ocie|Micah Gold|Ian Gold
446|Holo Mask : Gold #819|261.6086990100148|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/819|Owen|Lillian|Leonardo|Naila|Ivan Gold|Greyson Gold
447|Holo Mask : Gold #1256|261.541676746564|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/1256|Sky|Kennedy|Jason|Mabel|Zachary Gold|Aaron Gold
448|Holo Mask : Gold #630|261.53177732861275|https://quixotic.io/asset/0x8B50FDe10E6D2256b12DD839F92130C5D20c1E51/630|Vince|Skylar|Miles|Merlie|Silas Gold|Christian Gole
