_rank|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
452|Sobta Magic #351|116.39734449053856|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/351|Common - Lemon|Bored|None|None|None|Orange Hime Cut|Smirk|Hoodie|Espresso Skin||Fountain Pen
453|Sobta Magic #86|116.21431929997368|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/86|Common - Sky|Happy|None|Sobta Sticker|None|Blue Helmet|Grin|Yellow T-Shirt|Honey Skin||Wrench
454|Sobta Magic #338|116.18426342789066|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/338|Common - Taro Milk|Normal|Red Glasses|Plaster|None|Captain Girl|Wafer Roll|Yellow T-Shirt|Chocolate Skin||Boomerang
455|Sobta Magic #428|116.17809717670421|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/428|Common - Peach|Angry|Sunglasses|Pain Relief Patch|None|Red Helmet|Choco Donut|Hoodie|Aqua Mutant||Bunching Onion
456|Sobta Magic #239|116.02103676939677|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/239|Common - Cookie|Angry|None|None|None|Blonde Double Braid|Lollipop|Hoodie|Earth Mutant||Baseball Bat
457|Sobta Magic #84|115.69135533748118|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/84|Common - Charcoal|Angry|Heart Glasses|None|None|Captain Girl|Smile|Sailor Suit|Lava Mutant||Baseball Bat
458|Sobta Magic #83|115.52993685762132|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/83|Common - Peach|Fascinated|None|None|None|Green Light Undercut|Strawberry Stick|Aloha Shirt|Almond Skin||Fountain Pen
459|Sobta Magic #89|115.51984283860331|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/89|Common - Cotton Candy|Fascinated|None|Pain Relief Patch|None|Brown Bubble|Smirk|Fur Jacket|Honey Skin||Water Staff
460|Sobta Magic #28|115.43658553519725|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/28|Common - Cotton Candy|Surprised|Gold Monocle|None|None|Brown Palm Tree|Smirk|Barista Suit|Lava Mutant||Boomerang
461|Sobta Magic #199|115.3951875735018|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/199|Common - Lemonade|Sad|Red Glasses|Plaster|None|Green Light Undercut|Triangle|Black Jacket|Almond Skin||Baseball Bat
462|Sobta Magic #232|115.2651288832195|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/232|Common - Taro Milk|Wink|None|None|None|Green Comma|Triangle|Pink Overalls|Caramel Ape||Coffee Cup
463|Sobta Magic #529|115.24161420531817|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/529|Common - Cotton Candy|Bored|None|Pain Relief Patch|None|Red Ponytail|Triangle|Sailor Suit|Espresso Skin||Guitar
464|Sobta Magic #64|115.21621943406817|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/64|Common - Sunset|Bored|None|Star Sticker|None|Orange Pigtails|Bread|School Uniform|Aqua Mutant||Baseball Bat
465|Sobta Magic #360|114.45196432065055|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/360|Common - Sunset|Bored|Sunglasses|None|None|Brown Palm Tree|Smirk|Hoodie|Honey Skin||Water Staff
466|Sobta Magic #493|114.2239491662946|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/493|Common - Lemon|Normal|Heart Glasses|None|None|Brown Palm Tree|Bread|White T-Shirt|Milk Tea Skin||Squeaky Hammer
467|Sobta Magic #336|113.90048480569571|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/336|Common - Taro Milk|Normal|None|Pain Relief Patch|None|Blue Helmet|Open Smile|Black Overalls|Earth Mutant||Guitar
468|Sobta Magic #134|113.86490178832611|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/134|Common - Cotton Candy|Surprised|Sunglasses|None|None|Pink Side Braid|Wafer Roll|Hoodie|Milk Tea Skin||Bunching Onion
469|Sobta Magic #23|113.74177642141525|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/23|Common - Lemonade|Angry|None|Tattoo|None|Brown Bubble|O Mouth|White Overalls|Espresso Skin||Sketch Board
470|Sobta Magic #401|113.55840396091662|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/401|Common - Cotton Candy|Happy|None|None|None|Black Bucket Hat|Smile|Yellow T-Shirt|Chocolate Skin||Syringe
471|Sobta Magic #147|113.37894207558155|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/147|Common - Sky|Surprised|None|Pain Relief Patch|None|Blue Messy|Bread|Black Jacket|Chocolate Skin||Wrench
472|Sobta Magic #489|113.20294546527768|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/489|Common - Charcoal|Bored|None|None|None|Green Light Undercut|Bread|Yellow T-Shirt|Milk Skin||Syringe
473|Sobta Magic #11|113.06225689617878|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/11|Common - Cookie|Bored|None|None|None|Brown Spiky|Wafer Roll|Black Overalls|Almond Skin||Sketch Board
474|Sobta Magic #276|112.96890579824387|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/276|Common - Lemonade|Angry|Gold Monocle|None|None|Orange Pigtails|Triangle|Pink Overalls|Almond Skin||Squeaky Hammer
475|Sobta Magic #1|112.96094769932013|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/1|Common - Cookie|Normal|Heart Glasses|None|None|Brown Spiky|O Mouth|Yellow T-Shirt|Aqua Mutant||Boomerang
476|Sobta Magic #172|112.93645341137021|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/172|Common - Cookie|Bored|Sunglasses|Pain Relief Patch|None|Captain Girl|Tongue Out|Black Overalls|Caramel Ape||Wrench
477|Sobta Magic #367|112.83728600422985|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/367|Common - Sunset|Surprised|None|None|None|Orange Pigtails|Smile|Aloha Shirt|Milk Skin||Water Staff
478|Sobta Magic #552|112.81779954821471|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/552|Common - Lemon|Bored|None|None|None|Green Comma|O Mouth|Barista Suit|Lava Mutant||Squeaky Hammer
479|Sobta Magic #387|112.70726201012734|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/387|Common - Lemonade|Normal|Sunglasses|None|None|Brown Spiky|Smile|Business Suit|Espresso Skin||Bunching Onion
480|Sobta Magic #8|112.68478053246497|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/8|Common - Sky|Wink|Sunglasses|None|None|Brown Bubble|Grumpy|Barista Suit|Almond Skin||Lollipop
481|Sobta Magic #300|112.63734645864456|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/300|Common - Charcoal|Normal|None|Star Sticker|None|White Undercut|Grin|White T-Shirt|Almond Skin||Bunching Onion
482|Sobta Magic #453|112.55224409970543|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/453|Common - Taro Milk|Angry|None|None|None|White Undercut|Grumpy|Business Suit|Almond Skin||Boomerang
483|Sobta Magic #17|112.52862600517531|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/17|Common - Lemonade|Wink|Sunglasses|Pain Relief Patch|None|Black Dreadlocks|Smirk|Yellow T-Shirt|Milk Tea Skin||Baseball Bat
484|Sobta Magic #353|112.32319320037637|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/353|Common - Lemonade|Normal|None|None|None|Brown Palm Tree|Wafer Roll|White T-Shirt|Caramel Ape||Coffee Cup
485|Sobta Magic #57|112.31342048664489|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/57|Common - Charcoal|Normal|None|Tattoo|None|Blonde Dreadlocks|Smile|Yellow T-Shirt|Earth Mutant||Wrench
486|Sobta Magic #129|112.22317521887545|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/129|Common - Peach|Angry|None|None|None|Orange Spiky|Smirk|Denim Shirt|Lava Mutant||Wrench
487|Sobta Magic #429|111.85772766296621|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/429|Common - Cotton Candy|Wink|None|Pain Relief Patch|None|Blonde Dreadlocks|Smirk|White Overalls|Espresso Skin||Wrench
488|Sobta Magic #523|111.68893316601104|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/523|Common - Taro Milk|Angry|Red Glasses|None|None|Blonde-Brown Man Bun|Smile|Black Jacket|Earth Mutant||Carrot
489|Sobta Magic #413|111.40789684176634|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/413|Common - Sky|Fascinated|None|None|None|Blonde Palm Tree|Tongue Out|Fur Jacket|Lava Mutant||Guitar
490|Sobta Magic #117|110.83247130231129|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/117|Common - Taro Milk|Fascinated|None|Star Sticker|None|Black Comma|Grumpy|Hoodie|Earth Mutant||Guitar
491|Sobta Magic #481|110.80726740977028|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/481|Common - Cotton Candy|Normal|None|None|None|Black Comma|Open Smile|Black Jacket|Caramel Ape||Boomerang
492|Sobta Magic #280|110.46611208901581|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/280|Common - Sunset|Surprised|None|Pain Relief Patch|None|Brown Spiky|Open Smile|School Uniform|Milk Skin||Bunching Onion
493|Sobta Magic #130|110.43207271752658|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/130|Common - Taro Milk|Sad|Sunglasses|None|None|Brown Palm Tree|Tongue Out|Hoodie|Aqua Mutant||Fountain Pen
494|Sobta Magic #25|110.42279907941729|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/25|Common - Taro Milk|Normal|None|Star Sticker|None|Captain Girl|Open Smile|Black Overalls|Espresso Skin||Bunching Onion
495|Sobta Magic #533|110.32344245485362|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/533|Common - Lemon|Wink|None|None|None|Green Light Undercut|Grin|Yellow T-Shirt|Honey Skin||Sketch Board
496|Sobta Magic #296|110.19366017866736|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/296|Common - Charcoal|Normal|None|Tattoo|None|Blonde-Brown Man Bun|Triangle|School Uniform|Almond Skin||Baseball Bat
497|Sobta Magic #62|110.16317775894173|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/62|Common - Taro Milk|Bored|None|None|None|Orange Pigtails|Triangle|White T-Shirt|Honey Skin||Nature Staff
498|Sobta Magic #546|110.05383186462208|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/546|Common - Cotton Candy|Normal|None|None|None|Brown Palm Tree|Lollipop|School Uniform|Almond Skin||Wrench
499|Sobta Magic #431|110.04802367757262|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/431|Common - Peach|Surprised|None|Pain Relief Patch|None|Red Helmet|Grin|Yellow T-Shirt|Milk Tea Skin||Lollipop
500|Sobta Magic #509|109.97317168979583|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/509|Common - Sunset|Fascinated|Gold Monocle|None|None|Red Helmet|Smile|Hoodie|Espresso Skin||Wrench
501|Sobta Magic #487|109.91464634749218|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/487|Common - Cookie|Bored|None|Star Sticker|None|White Bucket Hat|O Mouth|White Overalls|Earth Mutant||Bunching Onion
502|Sobta Magic #156|109.77810233416285|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/156|Common - Peach|Wink|Sunglasses|None|None|Blonde Palm Tree|Grumpy|Pink Overalls|Lava Mutant||Wrench
503|Sobta Magic #157|109.56747094527117|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/157|Common - Cotton Candy|Wink|None|None|None|Violet Ponytail|Open Smile|Pink Overalls|Earth Mutant||Bunching Onion
504|Sobta Magic #469|109.28119705072132|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/469|Common - Peach|Sad|None|Pain Relief Patch|None|White Undercut|Grumpy|Hoodie|Milk Tea Skin||Boomerang
505|Sobta Magic #290|108.30234071445517|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/290|Common - Sky|Surprised|Red Glasses|Pain Relief Patch|None|Orange Pigtails|O Mouth|Pink Overalls|Lava Mutant||Baseball Bat
506|Sobta Magic #524|108.19841871339767|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/524|Common - Cotton Candy|Normal|None|Pain Relief Patch|None|Green Comma|Tongue Out|Aloha Shirt|Honey Skin||Fountain Pen
507|Sobta Magic #400|108.1603737851392|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/400|Common - Taro Milk|Wink|None|Plaster|None|Red Helmet|Triangle|Yellow T-Shirt|Lava Mutant||Bunching Onion
508|Sobta Magic #504|108.00182521774076|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/504|Common - Sky|Normal|None|Plaster|None|Brown Palm Tree|Triangle|White Overalls|Chocolate Skin||Boomerang
509|Sobta Magic #13|107.99397896562206|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/13|Common - Cookie|Wink|None|None|None|Green Light Undercut|Smile|Black Jacket|Chocolate Skin||Sketch Board
510|Sobta Magic #277|107.92767062500745|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/277|Common - Taro Milk|Bored|None|Pain Relief Patch|None|Violet Ponytail|Strawberry Stick|Pink Overalls|Milk Tea Skin||Wrench
511|Sobta Magic #457|107.74120454632887|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/457|Common - Lemonade|Normal|Sunglasses|None|None|Red Helmet|Open Smile|Hoodie|Milk Skin||Carrot
512|Sobta Magic #484|107.69290739216832|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/484|Common - Sunset|Fascinated|None|None|None|Blue Helmet|Smile|Pink Overalls|Earth Mutant||Boomerang
513|Sobta Magic #180|107.49476393670778|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/180|Common - Sunset|Sad|None|None|None|Brown Spiky|Smile|Black Jacket|Vanilla Ape||Guitar
514|Sobta Magic #473|107.4033607844625|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/473|Common - Cotton Candy|Angry|None|Pain Relief Patch|None|Violet Ponytail|O Mouth|Yellow T-Shirt|Espresso Skin||Fountain Pen
515|Sobta Magic #512|107.04383067746669|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/512|Common - Taro Milk|Fascinated|None|None|None|White Undercut|Smile|Hoodie|Earth Mutant||Bunching Onion
516|Sobta Magic #542|106.86317579913091|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/542|Common - Taro Milk|Normal|None|None|None|Green Comma|Wafer Roll|Barista Suit|Honey Skin||Fountain Pen
517|Sobta Magic #33|106.83415193469182|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/33|Common - Charcoal|Normal|None|Tattoo|None|Orange Pigtails|Grumpy|Fur Jacket|Milk Tea Skin||Fountain Pen
518|Sobta Magic #250|106.77822401937595|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/250|Common - Lemonade|Wink|None|None|None|Red Ponytail|Grumpy|White Overalls|Honey Skin||Fountain Pen
519|Sobta Magic #126|106.7150725882122|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/126|Common - Lemonade|Bored|None|None|None|Green Light Undercut|Smirk|Barista Suit|Chocolate Skin||Squeaky Hammer
520|Sobta Magic #227|106.53838550963403|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/227|Common - Sky|Happy|None|None|None|Blue Helmet|O Mouth|Pink Overalls|Milk Tea Skin||Fountain Pen
521|Sobta Magic #379|106.34420791290535|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/379|Common - Peach|Normal|None|None|None|Blonde Dreadlocks|Triangle|Black Jacket|Aqua Mutant||Bunching Onion
522|Sobta Magic #303|106.18337763606209|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/303|Common - Cookie|Surprised|None|None|None|Brown Spiky|Grumpy|Sailor Suit|Almond Skin||Carrot
523|Sobta Magic #41|106.11323891898832|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/41|Common - Sky|Angry|None|Plaster|None|White Bubble|O Mouth|Black Jacket|Milk Tea Skin||Bunching Onion
524|Sobta Magic #174|105.57563292079058|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/174|Common - Cotton Candy|Normal|None|None|None|Green Comma|Wafer Roll|Hoodie|Almond Skin||Squeaky Hammer
525|Sobta Magic #202|105.47105295246158|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/202|Common - Sunset|Bored|None|Tattoo|None|White Bubble|Grumpy|Yellow T-Shirt|Honey Skin||Guitar
526|Sobta Magic #131|105.32805693770266|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/131|Common - Peach|Normal|Red Glasses|None|None|Black Bucket Hat|Triangle|Sailor Suit|Milk Tea Skin||Wrench
527|Sobta Magic #39|105.20305936291516|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/39|Common - Lemonade|Normal|None|None|None|Blonde-Brown Man Bun|O Mouth|School Uniform|Milk Tea Skin||Carrot
528|Sobta Magic #217|105.08435259521583|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/217|Common - Peach|Bored|None|None|None|Blonde Palm Tree|Smirk|Hoodie|Caramel Ape||Boomerang
529|Sobta Magic #176|105.00829055588468|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/176|Common - Lemon|Sad|None|Star Sticker|None|Red Helmet|Triangle|Hoodie|Earth Mutant||Guitar
530|Sobta Magic #5|104.96251269629066|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/5|Common - Lemon|Angry|None|None|None|Black Comma|Choco Donut|School Uniform|Milk Tea Skin||Wrench
531|Sobta Magic #444|104.8234862978525|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/444|Common - Lemon|Angry|Sunglasses|None|None|Green Light Undercut|Triangle|Black Overalls|Lava Mutant||Baseball Bat
532|Sobta Magic #47|104.6711912981937|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/47|Common - Cotton Candy|Angry|None|Tattoo|None|White Bucket Hat|Grumpy|White Overalls|Honey Skin||Bunching Onion
533|Sobta Magic #294|104.43449140951046|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/294|Common - Taro Milk|Angry|Sunglasses|None|None|Black Dreadlocks|Smirk|Yellow T-Shirt|Milk Skin||Baseball Bat
534|Sobta Magic #326|104.08449466430844|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/326|Common - Lemonade|Sad|None|None|None|Green Light Undercut|Strawberry Stick|Hoodie|Lava Mutant||Wrench
535|Sobta Magic #358|103.80975627347098|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/358|Common - Cookie|Fascinated|None|None|None|Brown Bubble|Wafer Roll|Hoodie|Chocolate Skin||Lollipop
536|Sobta Magic #472|103.60838762505124|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/472|Common - Charcoal|Happy|None|None|None|Captain Girl|Grin|Black Jacket|Chocolate Skin||Boomerang
537|Sobta Magic #77|103.43347032835537|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/77|Common - Sunset|Sad|Sunglasses|None|None|Green Light Undercut|Smile|Hoodie|Earth Mutant||Wrench
538|Sobta Magic #483|103.33871442925602|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/483|Common - Sky|Sad|None|None|None|Orange Pigtails|Open Smile|White T-Shirt|Almond Skin||Carrot
539|Sobta Magic #477|103.22854395971073|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/477|Common - Lemon|Bored|None|Pain Relief Patch|None|Red Helmet|Triangle|Denim Shirt|Milk Tea Skin||Carrot
540|Sobta Magic #102|101.68126366031449|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/102|Common - Sky|Bored|None|None|None|Captain Girl|Open Smile|Black Jacket|Espresso Skin||Wrench
541|Sobta Magic #253|101.60231401416173|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/253|Common - Lemon|Normal|None|Star Sticker|None|Brown Spiky|Smirk|Yellow T-Shirt|Espresso Skin||Bunching Onion
542|Sobta Magic #162|101.32470102356666|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/162|Common - Taro Milk|Sad|None|None|None|Violet Ponytail|Triangle|Denim Shirt|Chocolate Skin||Baseball Bat
543|Sobta Magic #75|101.15181538168292|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/75|Common - Sunset|Angry|Sunglasses|Pain Relief Patch|None|Black Bucket Hat|Smirk|Hoodie|Almond Skin||Wrench
544|Sobta Magic #221|101.13756984040015|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/221|Common - Charcoal|Surprised|None|Pain Relief Patch|None|Red Helmet|Grumpy|Black Overalls|Milk Skin||Baseball Bat
545|Sobta Magic #51|101.12713555905017|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/51|Common - Cotton Candy|Normal|None|None|None|Violet Ponytail|Bread|Fur Jacket|Milk Skin||Wrench
546|Sobta Magic #510|101.06657886208252|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/510|Common - Charcoal|Wink|None|None|None|Green Comma|O Mouth|Yellow T-Shirt|Espresso Skin||Bunching Onion
547|Sobta Magic #342|100.69136591147785|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/342|Common - Taro Milk|Normal|None|Pain Relief Patch|None|Captain Girl|Bread|Aloha Shirt|Honey Skin||Bunching Onion
548|Sobta Magic #306|99.936244535633|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/306|Common - Peach|Angry|None|None|None|Blonde Palm Tree|Smirk|Denim Shirt|Honey Skin||Bunching Onion
549|Sobta Magic #435|99.59835927145113|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/435|Common - Sky|Surprised|None|None|None|Red Helmet|Wafer Roll|Yellow T-Shirt|Earth Mutant||Bunching Onion
550|Sobta Magic #52|99.18368903507388|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/52|Common - Peach|Normal|None|None|None|Red Helmet|O Mouth|Black Overalls|Espresso Skin||Baseball Bat
551|Sobta Magic #346|98.86133480249312|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/346|Common - Peach|Surprised|None|None|None|Black Bucket Hat|Grumpy|Hoodie|Espresso Skin||Boomerang
552|Sobta Magic #146|98.68338267457723|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/146|Common - Taro Milk|Angry|None|None|None|Red Ponytail|Grumpy|Pink Overalls|Milk Tea Skin||Carrot
553|Sobta Magic #302|98.05161542562331|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/302|Common - Taro Milk|Surprised|None|Pain Relief Patch|None|Blonde Double Braid|Triangle|White T-Shirt|Chocolate Skin||Wrench
554|Sobta Magic #67|97.48238868087955|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/67|Common - Lemonade|Bored|None|None|None|Blonde Double Braid|Smile|Black Jacket|Chocolate Skin||Wrench
555|Sobta Magic #543|97.4510647727268|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/543|Common - Taro Milk|Normal|None|None|None|Orange Pigtails|Open Smile|Pink Overalls|Espresso Skin||Wrench
556|Sobta Magic #270|96.93029089292413|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/270|Common - Lemonade|Angry|None|Pain Relief Patch|None|Brown Bubble|Grumpy|Pink Overalls|Milk Skin||Carrot
557|Sobta Magic #365|93.80545921174358|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/365|Common - Lemonade|Wink|None|None|None|Brown Bubble|O Mouth|School Uniform|Milk Tea Skin||Wrench
558|Sobta Magic #412|93.2373176475109|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/412|Common - Taro Milk|Angry|None|None|None|Brown Bubble|Grumpy|Aloha Shirt|Chocolate Skin||Carrot
559|Sobta Magic #58|91.65760321652509|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/58|Common - Cotton Candy|Bored|None|None|None|Orange Pigtails|Tongue Out|Black Jacket|Almond Skin||Wrench
