_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
106|🔴-66|Sobta Magic #42|191.47911698158626|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/42|Rare - Earth|Fascinated|None|Pain Relief Patch|Marine|Blue Double Braid|Tongue Out|Denim Shirt|Almond Skin||Baseball Bat
107|🔴-35|Sobta Magic #507|191.39549249262132|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/507|Common - Cotton Candy|Sad|None|Pain Relief Patch|Florae|Red Ponytail|Bread|Sci-Fi Suit|Caramel Ape||Fire Staff
108|🔴-33|Sobta Magic #112|191.25668397172268|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/112|Rare - Morest|Happy|None|Sobta Sticker|Poppo|Violet Ponytail|Bread|Denim Shirt|Milk Skin||Wrench
109|🔴-55|Sobta Magic #458|191.1981521380321|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/458|Common - Lemon|Surprised|Scounter|Plaster|None|White Undercut|Smirk|School Uniform|Fire Cyborg||Water Staff
110|🟢+14|Sobta Magic #34|191.08357158491464|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/34|Rare - Cybertron|Angry|None|None|Poppo|Green Comma|O Mouth|White T-Shirt|Milk Skin||Lollipop
111|🔴-38|Sobta Magic #237|190.7108658034698|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/237|Rare - Night Dream|Angry|Gold Glasses|Plaster|Jojo|Green Light Undercut|Triangle|Black Jacket|Milk Skin||Sketch Board
112|🟡|Sobta Magic #765|189.39276616518887|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/765|Rare - Apezilon|Fascinated|None|Star Sticker|Alpha|Pink Side Braid|Open Smile|Sailor Suit|Honey Skin||Wrench
113|🔴-11|Sobta Magic #151|189.31124558383112|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/151|Common - Cookie|Wink|Gold Glasses|Star Sticker|Florae|Blue Hime Cut|Smile|Business Suit|Lava Mutant||Fountain Pen
114|🔴-59|Sobta Magic #330|189.12942716993877|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/330|Rare - Night Dream|Angry|Gold Glasses|None|Alpha|Orange Side Braid|O Mouth|Black Overalls|Lava Mutant||Bunching Onion
115|🔴-51|Sobta Magic #408|188.33493013778894|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/408|Rare - Day Dream|Surprised|Gold Monocle|Sobta Sticker|Jojo|White Undercut|Strawberry Stick|Denim Shirt|Almond Skin||Lollipop
116|🟡|Sobta Magic #777|188.28955216860294|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/777|Rare - Morest|Bored|Gold Glasses|None|Alpha|Blonde-Brown Man Bun|Smirk|White Overalls|Honey Skin||Boomerang
117|🟢+14|Sobta Magic #242|188.27871934230663|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/242|Rare - Cybertron|Happy|None|None|Jojo|Brown Spiky|Smirk|Pink Overalls|Milk Tea Skin||Sketch Board
118|🟡|Sobta Magic #705|188.1108903082603|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/705|Common - Sunset|Normal|Sunglasses|None|Marine|Captain Boy|Bubble Gum|Business Suit|Almond Skin||Wrench
119|🔴-37|Sobta Magic #19|187.54378427982084|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/19|Common - Lemon|Fascinated|Scounter|Sobta Sticker|None|Pink Inverted Bob|Grin|Business Suit|Almond Skin||Lollipop
120|🟡|Sobta Magic #587|187.24150338930568|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/587|Rare - Night Dream|Angry|None|None|Marine|Orange Pigtails|Strawberry Stick|Pink Overalls|Espresso Skin||Guitar
121|🟡|Sobta Magic #755|186.75591745743293|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/755|Common - Lemon|Sad|None|None|Miw Miw|Blue Double Braid|Bread|Adventure Suit|Fire Cyborg||Bunching Onion
122|🔴-22|Sobta Magic #536|185.46058207934695|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/536|Common - Cotton Candy|Fascinated|Gold Monocle|Pain Relief Patch|Florae|Blue Hime Cut|Leaf|Denim Shirt|Espresso Skin||Squeaky Hammer
123|🔴-36|Sobta Magic #389|185.35866096691677|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/389|Common - Taro Milk|Angry|Digital Glasses|None|None|Captain Boy|Leaf|White T-Shirt|Caramel Ape||Bunching Onion
124|🟢+4|Sobta Magic #315|185.28971062866515|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/315|Common - Sky|Bored|Scounter|Plaster|None|Green Light Undercut|Tongue Out|Black Jacket|Honey Skin||Laser Gun
125|🔴-57|Sobta Magic #340|184.81652106756974|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/340|Rare - Night Dream|Sad|Heart Glasses|Sobta Sticker|Florae|Blue Messy|Grumpy|Aloha Shirt|Milk Skin||Baseball Bat
126|🔴-10|Sobta Magic #223|184.78948265136162|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/223|Common - Taro Milk|Sad|Digital Glasses|Star Sticker|None|Black Dreadlocks|Triangle|Sailor Suit|Milk Tea Skin||Carrot
127|🔴-37|Sobta Magic #87|184.45410484979564|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/87|Rare - Day Dream|Angry|Red Glasses|Plaster|Miw Miw|Green Light Undercut|Tongue Out|Yellow T-Shirt|Milk Skin||Nature Staff
128|🟡|Sobta Magic #661|184.31789656304906|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/661|Rare - Day Dream|Surprised|Gold Glasses|None|Volcan|Captain Boy|Bubble Gum|Black Overalls|Earth Mutant||Wrench
129|🔴-44|Sobta Magic #238|184.07263620094503|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/238|Rare - Earth|Normal|Heart Glasses|None|Miw Miw|Orange Pigtails|Rose|Business Suit|Earth Mutant||Bunching Onion
130|🟡|Sobta Magic #652|183.837532973892|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/652|Common - Taro Milk|Happy|Gold Monocle|Pain Relief Patch|Alpha|Red Ponytail|Tongue Out|White Overalls|Almond Skin||Laser Gun
131|🔴-39|Sobta Magic #525|182.68284497969424|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/525|Common - Charcoal|Normal|Gold Glasses|None|None|Green Light Undercut|Rose|Sci-Fi Suit|Chocolate Skin||Nature Staff
132|🟡|Sobta Magic #570|182.61465836769247|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/570|Common - Sky|Happy|None|None|None|Blue Helmet|Strawberry Stick|Sci-Fi Suit|Aqua Mutant||Scythe
133|🔴-21|Sobta Magic #104|182.2334854247792|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/104|Common - Lemon|Happy|Digital Glasses|Rainbow Sticker|None|Red Helmet|Tongue Out|Denim Shirt|Lava Mutant||Bunching Onion
134|🟡|Sobta Magic #677|181.43754617581115|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/677|Rare - Apezilon|Bored|None|Pain Relief Patch|Alpha|White Bubble|Tongue Out|White Overalls|Milk Skin||Squeaky Hammer
135|🔴-69|Sobta Magic #137|180.80987454746528|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/137|Rare - Apezilon|Surprised|Red Glasses|None|Volcan|Brown Spiky|Smile|School Uniform|Honey Skin||Squeaky Hammer
136|🔴-71|Sobta Magic #495|180.64871971302085|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/495|Common - Cotton Candy|Surprised|Gold Glasses|Plaster|None|White Bucket Hat|Bread|Adventure Suit|Fire Cyborg||Bunching Onion
137|🟡|Sobta Magic #663|180.30434476360716|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/663|Common - Sunset|Fascinated|Scounter|None|Florae|Blonde Double Braid|Smile|Denim Shirt|Espresso Skin||Baseball Bat
138|🟡|Sobta Magic #802|180.2582984333362|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/802|Common - Peach|Surprised|Sunglasses|Tattoo|None|Blue Helmet|Smile|Sci-Fi Suit|Fire Cyborg||Syringe
139|🔴-80|Sobta Magic #251|180.22147453742667|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/251|Rare - Apezilon|Sad|None|Rainbow Sticker|Alpha|Orange Pigtails|Smile|Aloha Shirt|Chocolate Skin||Wrench
140|🔴-22|Sobta Magic #554|180.10725734206525|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/554|Common - Lemon|Fascinated|Digital Glasses|None|None|White Bucket Hat|Grin|White T-Shirt|Earth Mutant||Coffee Cup
141|🔴-60|Sobta Magic #410|180.06198075854815|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/410|Common - Sky|Bored|Diamond Glasses|Tattoo|Volcan|Green Comma|Open Smile|Sailor Suit|Milk Skin||Sketch Board
142|🔴-51|Sobta Magic #263|179.48571291625842|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/263|Rare - Night Dream|Normal|None|Pain Relief Patch|Kabo|Blonde Dreadlocks|Tongue Out|Denim Shirt|Almond Skin||Coffee Cup
143|🔴-45|Sobta Magic #463|178.83185183159372|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/463|Rare - Morest|Surprised|None|None|Poppo|Orange Pigtails|Strawberry Stick|Barista Suit|Milk Skin||Fountain Pen
144|🟡|Sobta Magic #568|178.81428003475258|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/568|Rare - Apezilon|Surprised|None|Pain Relief Patch|Alpha|Orange Hime Cut|O Mouth|White T-Shirt|Chocolate Skin||Baseball Bat
145|🔴-38|Sobta Magic #433|177.8194147646742|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/433|Rare - Earth|Wink|None|Sobta Sticker|Poppo|Brown Palm Tree|Open Smile|School Uniform|Lava Mutant||Baseball Bat
146|🔴-25|Sobta Magic #427|177.55733403939476|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/427|Common - Cookie|Angry|Red Glasses|None|Kabo|Black Bucket Hat|Bubble Gum|White T-Shirt|Earth Mutant||Nature Staff
147|🔴-53|Sobta Magic #7|176.68728219860495|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/7|Common - Lemonade|Fascinated|Gold Monocle|Star Sticker|None|Black Comma|Strawberry Stick|Docter Suit|Milk Tea Skin||Water Staff
148|🟡|Sobta Magic #701|176.61235942189543|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/701|Rare - Apezilon|Fascinated|None|Pain Relief Patch|Miw Miw|White Bucket Hat|Grin|Aloha Shirt|Almond Skin||Boomerang
149|🔴-72|Sobta Magic #49|176.56669082037948|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/49|Common - Sunset|Wink|Heart Glasses|Star Sticker|None|Blonde-Brown Man Bun|Wafer Roll|Docter Suit|Fire Cyborg||Baseball Bat
150|🟢+2|Sobta Magic #262|176.3526379521409|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/262|Rare - Cybertron|Normal|None|None|Poppo|Brown Palm Tree|Smirk|Aloha Shirt|Almond Skin||Carrot
151|🔴-72|Sobta Magic #291|176.23681154559117|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/291|Common - Cotton Candy|Sad|None|None|Florae|Blue Messy|Grin|Docter Suit|Milk Skin||Water Staff
152|🔴-23|Sobta Magic #212|175.98168273311282|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/212|Common - Cotton Candy|Happy|None|Pain Relief Patch|Jojo|Orange Spiky|O Mouth|Pink Overalls|Caramel Ape||Nature Staff
153|🔴-36|Sobta Magic #541|175.84799940287834|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/541|Rare - Morest|Surprised|Sunglasses|None|Volcan|Red Helmet|Triangle|Sailor Suit|Almond Skin||Wrench
154|🔴-29|Sobta Magic #222|175.2941090482811|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/222|Common - Peach|Normal|Red Glasses|Sobta Sticker|Kabo|White Bubble|Grin|White Overalls|Espresso Skin||Fire Staff
155|🔴-84|Sobta Magic #364|175.21017137188716|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/364|Common - Lemonade|Bored|Gold Glasses|None|Marine|Pink Side Braid|O Mouth|Hoodie|Milk Skin||Boomerang
156|🔴-26|Sobta Magic #66|175.06663712816044|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/66|Common - Charcoal|Angry|Scounter|Star Sticker|None|Green Comma|Strawberry Stick|White Overalls|Milk Tea Skin||Water Staff
157|🟡|Sobta Magic #800|175.05352443762303|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/800|Rare - Night Dream|Bored|None|Tattoo|Florae|Red Ponytail|Grumpy|Fur Jacket|Lava Mutant||Lollipop
158|🟡|Sobta Magic #751|174.9727729508779|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/751|Common - Cotton Candy|Happy|Digital Glasses|Pain Relief Patch|None|Black Comma|Grumpy|Denim Shirt|Almond Skin||Lollipop
159|🔴-11|Sobta Magic #142|174.79605626791408|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/142|Common - Taro Milk|Surprised|Digital Glasses|Pain Relief Patch|None|Brown Bubble|Wafer Roll|Pink Overalls|Milk Skin||Lollipop
160|🟡|Sobta Magic #729|174.73956007553844|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/729|Common - Cotton Candy|Fascinated|Sunglasses|Plaster|Jojo|Blonde Dreadlocks|Grumpy|Sailor Suit|Fire Cyborg||Wrench
161|🔴-16|Sobta Magic #434|174.15413384604452|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/434|Rare - Night Dream|Normal|None|None|Jojo|Blue Hime Cut|Wafer Roll|Hoodie|Earth Mutant||Boomerang
162|🟡|Sobta Magic #634|173.83198712787555|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/634|Rare - Earth|Surprised|None|None|Volcan|Red Ponytail|Grin|Business Suit|Milk Tea Skin||Coffee Cup
163|🔴-70|Sobta Magic #80|173.74674093635969|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/80|Rare - Day Dream|Fascinated|None|Rainbow Sticker|Florae|Captain Boy|Smirk|White T-Shirt|Espresso Skin||Fountain Pen
164|🟡|Sobta Magic #692|173.6760036111508|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/692|Rare - Earth|Bored|None|None|Miw Miw|Brown Spiky|Lollipop|Pink Overalls|Honey Skin||Carrot
165|🔴-61|Sobta Magic #50|173.17077268536076|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/50|Common - Lemonade|Normal|Diamond Glasses|None|None|Orange Side Braid|Lollipop|Aloha Shirt|Chocolate Skin||Laser Gun
166|🟡|Sobta Magic #673|172.90297840030325|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/673|Common - Sky|Angry|Red Glasses|Rainbow Sticker|Miw Miw|Blue Double Braid|Choco Donut|Black Overalls|Almond Skin||Carrot
167|🔴-78|Sobta Magic #500|172.65838581186333|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/500|Common - Cookie|Fascinated|None|Plaster|Alpha|Blue Messy|Bubble Gum|White T-Shirt|Chocolate Skin||Sketch Board
168|🟡|Sobta Magic #617|172.302456071106|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/617|Common - Cookie|Normal|None|Plaster|Poppo|Blonde-Brown Man Bun|O Mouth|Sailor Suit|Caramel Ape||Water Staff
169|🟡|Sobta Magic #610|172.24919929054235|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/610|Common - Sunset|Happy|None|None|Florae|Blonde Palm Tree|Bread|Adventure Suit|Milk Skin||Lollipop
170|🔴-51|Sobta Magic #299|172.2195617403639|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/299|Common - Lemonade|Normal|Red Glasses|None|Florae|White Bubble|Smirk|White T-Shirt|Lava Mutant||Scythe
171|🔴-36|Sobta Magic #343|172.1900920628817|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/343|Common - Taro Milk|Happy|Sunglasses|Pain Relief Patch|Miw Miw|White Bubble|Rose|Black Jacket|Vanilla Ape||Guitar
172|🟡|Sobta Magic #792|171.8528604249088|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/792|Common - Sunset|Fascinated|Diamond Glasses|Tattoo|None|Black Comma|Choco Donut|Denim Shirt|Ice Cyborg||Wrench
173|🔴-47|Sobta Magic #363|171.8370511362557|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/363|Rare - Day Dream|Fascinated|Red Glasses|None|Volcan|White Bucket Hat|Rose|Denim Shirt|Almond Skin||Carrot
174|🔴-54|Sobta Magic #347|171.5940300457196|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/347|Common - Charcoal|Wink|None|Pain Relief Patch|Marine|Black Dreadlocks|Tongue Out|Yellow T-Shirt|Honey Skin||Carrot
175|🟢+24|Sobta Magic #322|171.2475053203629|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/322|Common - Charcoal|Sad|None|Star Sticker|Poppo|Brown Bubble|Triangle|Fur Jacket|Chocolate Skin||Laser Gun
176|🔴-73|Sobta Magic #247|170.87571114236363|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/247|Common - Sky|Angry|Scounter|Tattoo|None|Orange Hime Cut|Strawberry Stick|Hoodie|Milk Skin||Sketch Board
177|🟡|Sobta Magic #629|170.8080142409718|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/629|Common - Lemonade|Bored|Diamond Glasses|Pain Relief Patch|Jojo|Brown Palm Tree|O Mouth|White T-Shirt|Espresso Skin||Nature Staff
178|🔴-116|Sobta Magic #539|170.79666527707582|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/539|Common - Cookie|Wink|Heart Glasses|None|None|Blue Double Braid|Strawberry Stick|Fur Jacket|Aqua Mutant||Scythe
179|🟡|Sobta Magic #604|170.5942478105416|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/604|Common - Sky|Angry|Scounter|None|None|Black Dreadlocks|Grumpy|Docter Suit|Milk Skin||Wrench
180|🟡|Sobta Magic #648|170.45624987389994|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/648|Common - Lemon|Fascinated|Gold Glasses|Tattoo|None|Orange Side Braid|Lollipop|Aloha Shirt|Honey Skin||Water Staff
181|🟡|Sobta Magic #579|170.2628033080526|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/579|Common - Sky|Normal|Gold Monocle|Pain Relief Patch|Poppo|Blue Messy|Smirk|Yellow T-Shirt|Milk Tea Skin||Nature Staff
182|🔴-77|Sobta Magic #505|169.83640246331382|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/505|Common - Cookie|Bored|Gold Glasses|Pain Relief Patch|Kabo|Pink Side Braid|Choco Donut|Black Jacket|Espresso Skin||Carrot
183|🟡|Sobta Magic #622|169.49272424671847|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/622|Common - Peach|Angry|None|Tattoo|Kabo|Captain Boy|Choco Donut|Denim Shirt|Almond Skin||Water Staff
184|🟡|Sobta Magic #757|169.47503073961377|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/757|Common - Taro Milk|Bored|Gold Monocle|Sobta Sticker|None|Brown Palm Tree|Smirk|Docter Suit|Vanilla Ape||Coffee Cup
185|🔴-97|Sobta Magic #305|169.36784053085765|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/305|Rare - Apezilon|Surprised|None|None|Miw Miw|Blonde Double Braid|Smirk|Black Jacket|Milk Skin||Baseball Bat
186|🔴-77|Sobta Magic #439|169.28329909010034|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/439|Common - Cotton Candy|Happy|Red Glasses|Pain Relief Patch|Alpha|Black Bucket Hat|Grumpy|Docter Suit|Milk Skin||Wrench
187|🔴-45|Sobta Magic #386|168.60977042661253|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/386|Common - Cotton Candy|Fascinated|Heart Glasses|None|Jojo|White Bucket Hat|Open Smile|Yellow T-Shirt|Vanilla Ape||Syringe
188|🔴-33|Sobta Magic #141|168.06970723648658|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/141|Common - Cookie|Surprised|Digital Glasses|None|None|Brown Spiky|Choco Donut|Denim Shirt|Milk Tea Skin||Wrench
189|🔴-92|Sobta Magic #417|167.94024458007712|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/417|Rare - Earth|Normal|Sunglasses|None|Kabo|Blue Double Braid|Grumpy|School Uniform|Espresso Skin||Bunching Onion
190|🔴-80|Sobta Magic #350|167.76789469717943|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/350|Common - Lemon|Normal|Gold Glasses|None|Poppo|Pink Side Braid|Bread|White Overalls|Vanilla Ape||Lollipop
191|🔴-76|Sobta Magic #527|167.70102679635218|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/527|Common - Peach|Surprised|None|None|Marine|Black Comma|Strawberry Stick|Black Overalls|Almond Skin||Boomerang
192|🔴-59|Sobta Magic #194|167.46607942604072|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/194|Common - Sky|Sad|Red Glasses|Plaster|Kabo|Violet Ponytail|Bread|Business Suit|Honey Skin||Fountain Pen
193|🔴-85|Sobta Magic #311|167.14565047761886|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/311|Common - Lemon|Angry|Sunglasses|Rainbow Sticker|None|White Undercut|Open Smile|Sci-Fi Suit|Milk Skin||Squeaky Hammer
194|🔴-83|Sobta Magic #18|166.78504823862423|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/18|Common - Taro Milk|Wink|None|Star Sticker|Poppo|Captain Boy|Smirk|Barista Suit|Vanilla Ape||Sketch Board
195|🔴-57|Sobta Magic #101|165.7639718499294|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/101|Common - Charcoal|Surprised|Gold Monocle|None|None|Black Dreadlocks|Bubble Gum|Adventure Suit|Milk Skin||Guitar
196|🔴-69|Sobta Magic #282|165.6156854256854|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/282|Rare - Day Dream|Sad|Diamond Glasses|None|Poppo|Red Ponytail|Grumpy|Aloha Shirt|Chocolate Skin||Wrench
197|🟡|Sobta Magic #625|165.43345529540676|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/625|Common - Cookie|Bored|Diamond Glasses|Sobta Sticker|None|Red Helmet|Open Smile|White T-Shirt|Aqua Mutant||Nature Staff
198|🔴-47|Sobta Magic #123|165.39370596630465|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/123|Rare - Day Dream|Angry|Gold Monocle|Pain Relief Patch|Volcan|White Bucket Hat|Smirk|Pink Overalls|Lava Mutant||Carrot
199|🔴-62|Sobta Magic #395|165.0128302165988|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/395|Rare - Day Dream|Normal|Gold Glasses|Pain Relief Patch|Florae|White Bucket Hat|Triangle|Aloha Shirt|Honey Skin||Guitar
200|🟡|Sobta Magic #590|164.37964397213574|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/590|Rare - Day Dream|Surprised|Red Glasses|Pain Relief Patch|Miw Miw|Blonde Palm Tree|Triangle|Fur Jacket|Almond Skin||Sketch Board
201|🔴-61|Sobta Magic #335|163.6011770244821|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/335|Common - Peach|Happy|None|None|Marine|Brown Bubble|Tongue Out|Sailor Suit|Chocolate Skin||Bunching Onion
202|🔴-103|Sobta Magic #35|163.46220162659353|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/35|Common - Peach|Surprised|Gold Monocle|None|None|Blue Double Braid|Rose|Sci-Fi Suit|Lava Mutant||Bunching Onion
203|🔴-80|Sobta Magic #285|163.23017264175186|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/285|Common - Sky|Sad|Diamond Glasses|None|Miw Miw|Brown Spiky|Grin|Sailor Suit|Honey Skin||Baseball Bat
204|🟡|Sobta Magic #783|163.19846264619832|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/783|Common - Peach|Fascinated|Diamond Glasses|Rainbow Sticker|None|White Undercut|Strawberry Stick|School Uniform|Milk Tea Skin||Lollipop
205|🔴-38|Sobta Magic #46|163.02494139646188|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/46|Common - Charcoal|Surprised|Sunglasses|Tattoo|None|White Bubble|Wafer Roll|Docter Suit|Caramel Ape||Guitar
206|🟡|Sobta Magic #578|163.01728961009118|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/578|Common - Lemon|Surprised|Sunglasses|Tattoo|Kabo|Blue Double Braid|Grin|Aloha Shirt|Earth Mutant||Squeaky Hammer
207|🔴-50|Sobta Magic #528|162.92207528371455|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/528|Common - Charcoal|Sad|Red Glasses|None|None|Black Comma|Rose|Adventure Suit|Espresso Skin||Squeaky Hammer
208|🔴-47|Sobta Magic #216|162.4181340060295|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/216|Common - Lemonade|Happy|Gold Glasses|None|None|Blonde-Brown Man Bun|Choco Donut|School Uniform|Honey Skin||Laser Gun
