_rank|📈|_name|_score|_link|Background|Eyes|Eyewear|Face Accessory|Friend|Hair|Mouth|Outfit|Skin|Special Adventurer|Weapon
583|🟡|Sobta Magic #583|123.18438700097403|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/583|Common - Lemon|Surprised|Red Glasses|Plaster|None|Brown Palm Tree|Triangle|Fur Jacket|Milk Tea Skin||Coffee Cup
584|🟡|Sobta Magic #730|123.17108149199177|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/730|Common - Peach|Normal|Gold Glasses|None|None|Orange Side Braid|O Mouth|Aloha Shirt|Honey Skin||Bunching Onion
585|🔴-166|Sobta Magic #268|122.98896349835361|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/268|Common - Sunset|Bored|None|None|None|Blonde Double Braid|Rose|Fur Jacket|Earth Mutant||Baseball Bat
586|🔴-152|Sobta Magic #548|122.80862283360005|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/548|Common - Charcoal|Angry|Red Glasses|Sobta Sticker|None|Orange Pigtails|Choco Donut|Yellow T-Shirt|Milk Tea Skin||Bunching Onion
587|🟡|Sobta Magic #784|122.75650038245952|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/784|Common - Lemonade|Happy|None|Star Sticker|None|Blue Messy|Grumpy|White Overalls|Aqua Mutant||Lollipop
588|🟡|Sobta Magic #763|122.74692567211235|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/763|Common - Charcoal|Bored|Red Glasses|Tattoo|None|Orange Hime Cut|Smirk|Aloha Shirt|Earth Mutant||Guitar
589|🔴-197|Sobta Magic #544|122.66910353229518|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/544|Common - Peach|Surprised|Sunglasses|Pain Relief Patch|None|Captain Girl|Triangle|White Overalls|Honey Skin||Fire Staff
590|🔴-252|Sobta Magic #380|122.63325372220592|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/380|Common - Cotton Candy|Normal|None|None|None|Pink Side Braid|Leaf|Barista Suit|Honey Skin||Squeaky Hammer
591|🟡|Sobta Magic #804|122.52546091491467|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/804|Common - Cookie|Wink|None|Tattoo|None|White Undercut|O Mouth|Aloha Shirt|Almond Skin||Squeaky Hammer
592|🟡|Sobta Magic #646|122.4959461255863|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/646|Common - Cotton Candy|Angry|None|Plaster|None|Brown Spiky|Strawberry Stick|School Uniform|Earth Mutant||Wrench
593|🟡|Sobta Magic #637|122.49342101632242|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/637|Common - Cookie|Happy|None|None|None|Orange Side Braid|Smile|Barista Suit|Almond Skin||Coffee Cup
594|🟡|Sobta Magic #790|122.43830628142935|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/790|Common - Lemon|Fascinated|Heart Glasses|None|None|Red Helmet|Strawberry Stick|Hoodie|Lava Mutant||Boomerang
595|🔴-141|Sobta Magic #338|122.35579116585664|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/338|Common - Taro Milk|Normal|Red Glasses|Plaster|None|Captain Girl|Wafer Roll|Yellow T-Shirt|Chocolate Skin||Boomerang
596|🔴-210|Sobta Magic #29|122.25446288348637|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/29|Common - Cookie|Sad|Sunglasses|None|None|Orange Spiky|Tongue Out|Denim Shirt|Milk Skin||Baseball Bat
597|🟡|Sobta Magic #740|122.22583593346619|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/740|Common - Lemonade|Fascinated|Heart Glasses|None|None|Red Ponytail|Tongue Out|Fur Jacket|Honey Skin||Squeaky Hammer
598|🔴-297|Sobta Magic #384|122.15883215550673|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/384|Common - Peach|Angry|Red Glasses|Pain Relief Patch|None|Orange Side Braid|Open Smile|Fur Jacket|Lava Mutant||Wrench
599|🟡|Sobta Magic #721|122.15016542546107|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/721|Common - Cookie|Surprised|None|Pain Relief Patch|None|Pink Side Braid|Leaf|Hoodie|Vanilla Ape||Bunching Onion
600|🔴-116|Sobta Magic #353|122.10427911608392|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/353|Common - Lemonade|Normal|None|None|None|Brown Palm Tree|Wafer Roll|White T-Shirt|Caramel Ape||Coffee Cup
601|🔴-184|Sobta Magic #136|122.03088933118498|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/136|Common - Cookie|Surprised|None|Pain Relief Patch|None|Orange Spiky|Leaf|Hoodie|Honey Skin||Wrench
602|🟡|Sobta Magic #580|122.00530545859577|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/580|Common - Lemonade|Bored|Diamond Glasses|None|None|Violet Ponytail|Smirk|Black Jacket|Almond Skin||Fountain Pen
603|🔴-218|Sobta Magic #319|121.84531379632608|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/319|Common - Cotton Candy|Wink|None|None|None|Pink Inverted Bob|O Mouth|Black Overalls|Milk Tea Skin||Lollipop
604|🟡|Sobta Magic #739|121.82988758470282|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/739|Common - Cotton Candy|Surprised|None|Plaster|None|Blue Double Braid|Triangle|White T-Shirt|Earth Mutant||Fountain Pen
605|🔴-279|Sobta Magic #464|121.69235657110222|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/464|Common - Charcoal|Surprised|None|None|None|Orange Side Braid|Leaf|Fur Jacket|Milk Skin||Guitar
606|🟡|Sobta Magic #737|121.28103790132334|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/737|Common - Lemonade|Happy|Red Glasses|Sobta Sticker|None|Captain Girl|Triangle|School Uniform|Milk Tea Skin||Bunching Onion
607|🔴-159|Sobta Magic #171|121.13467040033844|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/171|Common - Sunset|Normal|None|None|None|Black Dreadlocks|Leaf|Black Overalls|Earth Mutant||Bunching Onion
608|🔴-155|Sobta Magic #86|121.07064725001007|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/86|Common - Sky|Happy|None|Sobta Sticker|None|Blue Helmet|Grin|Yellow T-Shirt|Honey Skin||Wrench
609|🔴-220|Sobta Magic #390|121.04006809494766|https://qx.app/asset/0x2A6D4EA1c0ef6060665AbB853523807E8f3f2873/390|Common - Sky|Wink|None|Pain Relief Patch|None|Pink Side Braid|Tongue Out|White T-Shirt|Vanilla Ape||Guitar
