rank|name|score|link|Bg|Body|Eye|Earring|Hair|Clothing|Mouth
2965|GoblinTownHero #2635|86.06365481763552|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2635|Salmon|Pickle|Ghost|None|Sapling|Lilly|Gasp
2966|GoblinTownHero #1328|86.05398248154698|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1328|Butter|Sky|Hungover|None|Leaf|Ribbon|Cheeky Smile
2967|GoblinTownHero #3208|86.0361966289841|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3208|Butter|Fern|Sad|None|Crown|Ether|Tongue Out
2968|GoblinTownHero #393|85.9937718866774|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/393|Butter|Pickle|Hungover|None|Pink Bear|Ether|Tongue Out
2969|GoblinTownHero #934|85.93829668678666|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/934|Sky|Fern|Sad|None|Lemon Trapperer|Carrot|Gasp
2970|GoblinTownHero #897|85.9280855070612|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/897|Night|Fern|Neutral|None|Star Bucket|Ether|Neutral Smile
2971|GoblinTownHero #972|85.91641675048851|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/972|Butter|Sky|Snake|None|Sapling|Overalls|Happy
2972|GoblinTownHero #2962|85.91062942545435|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2962|Coconut|Moss|Cry|None|Mint Slicked|Fern|Goblin
2973|GoblinTownHero #1591|85.90420329351039|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1591|Starry Orange|Sky|Neutral|None|Blue Braids|Overalls|Smirk
2974|GoblinTownHero #2322|85.896534037258|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2322|Coconut|Moss|X|None|Blue Sideswept|Fire|Smirk
2975|GoblinTownHero #667|85.89149406915226|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/667|Butter|Moss|Snake|None|Dark Bedhead|Overalls|Tongue Out
2976|GoblinTownHero #869|85.88729004284517|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/869|Olive|Pickle|Neutral|Gold Ether|Leaf|Rock|Smirk
2977|GoblinTownHero #2158|85.86601765794185|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2158|Starry Candy|Fern|Angry|None|Crown|Ether|Neutral Smile
2978|GoblinTownHero #3019|85.8367097193766|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3019|Starry Candy|Pickle|Angry|None|Lemon Trapperer|Stars|Neutral Smile
2979|GoblinTownHero #1679|85.81671629869794|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1679|Starry Candy|Pickle|Sad|None|Pink Bear|Lilly|Cheeky Smile
2980|GoblinTownHero #303|85.80106010495051|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/303|Olive|Moss|Angry|None|Star Bucket|Cerulean|Neutral Smile
2981|GoblinTownHero #1327|85.76304477332262|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1327|Olive|Fern|Neutral|None|White Wavy|Fire|Drowsy
2982|GoblinTownHero #2816|85.73633477298283|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2816|Mint|Moss|Hungover|None|Blue Sideswept|Star Hero|Cheeky Smile
2983|GoblinTownHero #1868|85.71193186103355|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1868|Salmon|Moss|Neutral|Shield|Salmon Short|Star Hero|Neutral Smile
2984|GoblinTownHero #363|85.7017929110063|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/363|Butter|Moss|Ghost|None|Leaf|Melting|Gasp
2985|GoblinTownHero #2726|85.69051296925309|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2726|Mint|Sky|Neutral|Shield|Crown|Fern|Grumpy
2986|GoblinTownHero #3173|85.66682460450629|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/3173|Orchid|Moss|Snake|Gold Ether|Peach Fringe|Fire|Grumpy
2987|GoblinTownHero #2756|85.6601971524509|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2756|Butter|Moss|Ghost|None|Crown|Ether|Goblin
2988|GoblinTownHero #1750|85.64759943183488|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1750|Butter|Pickle|Neutral|None|Sapling|Adventure|Grumpy
2989|GoblinTownHero #2956|85.61009415932607|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2956|Coconut|Fern|X|None|Lemon Trapperer|Punch|Happy
2990|GoblinTownHero #588|85.59340659574255|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/588|Coconut|Pickle|X|None|White Wavy|Ribbon|Happy
2991|GoblinTownHero #1531|85.55869670322967|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/1531|Olive|Pickle|Neutral|Double|White Wavy|Fern|Happy
2992|GoblinTownHero #2790|85.55132477989717|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2790|Orchid|Pickle|Cry|None|Crown|Lilly|Grumpy
2993|GoblinTownHero #2668|85.53454903611036|https://quixotic.io/asset/0x0f027dD51D793b91e630AdFb268a61A54fe1c7Bc/2668|Coconut|Pickle|Neutral|None|Sapling|Cerulean|Cheeky Smile
