rank|name|score|link|Background|Body|Headgear|Mouse|Glasses
3555|CattoPunk #3945|68.12241264341412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3945|Violet|Orange|Blue Beanie|Spit|Vr-Blue
3555|CattoPunk #5237|68.12241264341412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5237|Green|Orange|Blue Beanie|Spit|Sunglass
3555|CattoPunk #5493|68.12241264341412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5493|Blue|Orange|Orange Beanie|Spit|Yellow Sunglass
3555|CattoPunk #6786|68.12241264341412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6786|Blue|Orange|Orange Beanie|Spit|Vr-Blue
3555|CattoPunk #9936|68.12241264341412|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9936|Blue|Orange|Blue Beanie|Spit|Violet Sunglass
3563|CattoPunk #844|68.11881156290994|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/844|Orange|Orange|Blue Beanie|Spit|Vr-Blue
3563|CattoPunk #2937|68.11881156290994|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2937|Orange|Orange|Orange Beanie|Spit|3d
3563|CattoPunk #8672|68.11881156290994|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8672|Orange|Orange|Blue Beanie|Spit|Vr-Blue
3566|CattoPunk #3301|68.11293517811114|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3301|Yellow|Orange|Blue Beanie|Cigarette|Sunglass
3567|CattoPunk #1420|68.09255408986985|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1420|Yellow|Orange|Orange Beanie|Pipe|Orange Sunglass
3568|CattoPunk #2457|68.08765310918366|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2457|Yellow|Orange|Orange Beanie|Spit|Orange Sunglass
3569|CattoPunk #7563|68.06502436149034|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7563|Yellow|Orange|Punk|Blue|None
3570|CattoPunk #628|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/628|Blue|Zombile|Orange Beanie|Black|None
3570|CattoPunk #5290|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5290|Pink|Black lucky cat|Blue Beanie|Black|None
3570|CattoPunk #5587|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5587|Blue|Black lucky cat|Blue Beanie|Black|None
3570|CattoPunk #6052|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6052|Green|Black lucky cat|Orange Beanie|Black|None
3570|CattoPunk #6570|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6570|Violet|Black lucky cat|Orange Beanie|Black|None
3570|CattoPunk #9344|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9344|Violet|Black lucky cat|Blue Beanie|Black|None
3570|CattoPunk #9888|68.05880724909173|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9888|Pink|Zombile|Blue Beanie|Black|None
3577|CattoPunk #7760|68.04442880310256|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7760|Yellow|Black lucky cat|Orange Beanie|Black|None
3577|CattoPunk #9850|68.04442880310256|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9850|Yellow|Zombile|Blue Beanie|Black|None
3579|CattoPunk #2966|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2966|Violet|Orange|Punk|Cigarette|Violet Sunglass
3579|CattoPunk #4206|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4206|Blue|Orange|Punk|Pipe|Vr-Blue
3579|CattoPunk #5845|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5845|Pink|Orange|Punk|Cigarette|Sunglass
3579|CattoPunk #7268|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7268|Green|Orange|Punk|Pipe|Sunglass
3579|CattoPunk #8458|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8458|Pink|Orange|Punk|Cigarette|Sunglass
3579|CattoPunk #8527|68.0165605786961|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8527|Violet|Orange|Punk|Pipe|Blue Sunglass
3585|CattoPunk #2578|68.01295949819192|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2578|Orange|Orange|Punk|Cigarette|Violet Sunglass
3585|CattoPunk #3423|68.01295949819192|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3423|Orange|Orange|Punk|Cigarette|Vr-red
3587|CattoPunk #1320|68.01165959800991|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1320|Blue|Orange|Punk|Spit|Vr-red
3587|CattoPunk #2015|68.01165959800991|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2015|Violet|Orange|Punk|Spit|3d
3587|CattoPunk #4375|68.01165959800991|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4375|Blue|Orange|Punk|Spit|Blue Sunglass
3590|CattoPunk #2964|68.00218213270693|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2964|Yellow|Orange|Punk|Cigarette|Blue Sunglass
3591|CattoPunk #5265|67.97690006377945|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5265|Yellow|Orange|Punk|Spit|Orange Sunglass
3592|CattoPunk #1277|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1277|Green|Alien|Cap Forward|Vape|Sunglass
3592|CattoPunk #1813|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1813|Green|Alien|White Fedora|Vape|Sunglass
3592|CattoPunk #3720|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3720|Pink|Alien|Cap Forward|Vape|Vr-Blue
3592|CattoPunk #5970|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5970|Green|Alien|Russian Hat|Vape|Green Sunglass
3592|CattoPunk #6684|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6684|Blue|Alien|Cap Forward|Vape|Green Sunglass
3592|CattoPunk #6933|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6933|Blue|Alien|Cowboy|Vape|Vr-red
3592|CattoPunk #8471|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8471|Pink|Alien|Cap Forward|Vape|Vr
3592|CattoPunk #8570|67.95924265566141|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8570|Blue|Alien|Cap|Vape|Blue Sunglass
3600|CattoPunk #1476|67.94486420967223|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1476|Yellow|Alien|Cop|Vape|Vr
3600|CattoPunk #6213|67.94486420967223|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6213|Yellow|Alien|White Fedora|Vape|Vr-red
3600|CattoPunk #8757|67.94486420967223|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8757|Yellow|Alien|Russian Hat|Vape|Sunglass
3603|CattoPunk #690|67.93886156742013|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/690|Violet|Alien|Cop|Vape|Orange Sunglass
3603|CattoPunk #3316|67.93886156742013|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3316|Pink|Alien|Cowboy|Vape|Orange Sunglass
3605|CattoPunk #4788|67.93526048691594|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4788|Orange|Alien|Cap Forward|Vape|Orange Sunglass
3606|CattoPunk #260|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/260|Violet|Black|Cap|Red|Violet Sunglass
3606|CattoPunk #541|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/541|Green|White Lucky Cat|White Fedora|Red|Blue Sunglass
3606|CattoPunk #602|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/602|Blue|Black|Cop|Red|Vr-Blue
3606|CattoPunk #921|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/921|Green|White Lucky Cat|Cop|Red|3d
3606|CattoPunk #1312|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1312|Pink|White Lucky Cat|Cop|Red|Blue Sunglass
3606|CattoPunk #1611|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1611|Violet|Grey|Cap Forward|Red|Violet Sunglass
3606|CattoPunk #1648|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1648|Violet|Black|Cap Forward|Red|Vr-Blue
3606|CattoPunk #1701|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1701|Pink|Black|Cop|Red|Blue Sunglass
3606|CattoPunk #2437|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2437|Blue|Black|Cowboy|Red|Blue Sunglass
3606|CattoPunk #4258|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4258|Violet|Grey|Cap Forward|Red|Blue Sunglass
3606|CattoPunk #4339|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4339|Blue|Black|Cowboy|Red|Blue Sunglass
3606|CattoPunk #4559|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4559|Pink|White Lucky Cat|Russian Hat|Red|Vr
3606|CattoPunk #4810|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4810|Pink|Black|Cop|Red|Violet Sunglass
3606|CattoPunk #5274|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5274|Blue|White Lucky Cat|Cap Forward|Red|Vr-Blue
3606|CattoPunk #5564|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5564|Blue|White Lucky Cat|White Fedora|Red|Vr
3606|CattoPunk #6395|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6395|Violet|Grey|White Fedora|Red|Blue Sunglass
3606|CattoPunk #6485|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6485|Blue|Black|Cap|Red|Yellow Sunglass
3606|CattoPunk #6581|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6581|Blue|Black|Russian Hat|Red|Sunglass
3606|CattoPunk #8277|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8277|Violet|White Lucky Cat|Cap Forward|Red|Sunglass
3606|CattoPunk #8818|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8818|Pink|Grey|Cap|Red|3d
3606|CattoPunk #9994|67.81741883239782|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9994|Blue|Black|Russian Hat|Red|Blue Sunglass
3627|CattoPunk #5046|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5046|Orange|Grey|Cowboy|Red|Vr-Blue
3627|CattoPunk #5504|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5504|Orange|Black|Cop|Red|Vr-red
3627|CattoPunk #6653|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6653|Orange|Grey|Cap Forward|Red|Violet Sunglass
3627|CattoPunk #7115|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7115|Orange|White Lucky Cat|Cap Forward|Red|Sunglass
3627|CattoPunk #7159|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7159|Orange|Grey|Cop|Red|Green Sunglass
3627|CattoPunk #7486|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7486|Orange|Black|Cap Forward|Red|Blue Sunglass
3627|CattoPunk #8873|67.81381775189364|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8873|Orange|Black|Cop|Red|Violet Sunglass
3634|CattoPunk #835|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/835|Yellow|Black|White Fedora|Red|Vr-red
3634|CattoPunk #2058|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2058|Yellow|Grey|White Fedora|Red|Vr
3634|CattoPunk #2799|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2799|Yellow|Black|Russian Hat|Red|Yellow Sunglass
3634|CattoPunk #4840|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4840|Yellow|White Lucky Cat|White Fedora|Red|Sunglass
3634|CattoPunk #4988|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4988|Yellow|Grey|White Fedora|Red|Vr-Blue
3634|CattoPunk #5565|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5565|Yellow|White Lucky Cat|Russian Hat|Red|Vr
3634|CattoPunk #6859|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6859|Yellow|White Lucky Cat|Russian Hat|Red|Vr-red
3634|CattoPunk #6960|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6960|Yellow|Black|Russian Hat|Red|Vr-Blue
3634|CattoPunk #7736|67.80304038640865|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7736|Yellow|Grey|White Fedora|Red|Vr-Blue
3643|CattoPunk #7645|67.78265929816736|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7645|Yellow|White Lucky Cat|White Fedora|Red|Orange Sunglass
3644|CattoPunk #122|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/122|Pink|White Lucky Cat|Orange Beanie|Black|Sunglass
3644|CattoPunk #484|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/484|Violet|Black|Orange Beanie|Black|Violet Sunglass
3644|CattoPunk #951|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/951|Green|Grey|Blue Beanie|Black|Sunglass
3644|CattoPunk #1656|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1656|Blue|Grey|Blue Beanie|Black|Vr-Blue
3644|CattoPunk #1929|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1929|Green|Black|Blue Beanie|Black|Vr-Blue
3644|CattoPunk #2237|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2237|Blue|White Lucky Cat|Blue Beanie|Black|Yellow Sunglass
3644|CattoPunk #2267|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2267|Pink|Black|Blue Beanie|Black|3d
3644|CattoPunk #2756|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2756|Violet|White Lucky Cat|Blue Beanie|Black|Yellow Sunglass
3644|CattoPunk #3166|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3166|Blue|Grey|Orange Beanie|Black|Vr-red
3644|CattoPunk #3601|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3601|Pink|White Lucky Cat|Blue Beanie|Black|Vr-red
3644|CattoPunk #3679|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3679|Blue|White Lucky Cat|Blue Beanie|Black|Vr-Blue
3644|CattoPunk #4269|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4269|Green|Grey|Blue Beanie|Black|Blue Sunglass
3644|CattoPunk #4484|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4484|Green|White Lucky Cat|Orange Beanie|Black|Green Sunglass
3644|CattoPunk #4591|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4591|Green|Grey|Orange Beanie|Black|Sunglass
3644|CattoPunk #4623|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4623|Blue|White Lucky Cat|Blue Beanie|Black|3d
3644|CattoPunk #4803|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4803|Pink|Grey|Orange Beanie|Black|Sunglass
3644|CattoPunk #5113|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5113|Green|White Lucky Cat|Blue Beanie|Black|Yellow Sunglass
3644|CattoPunk #8882|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8882|Blue|Black|Blue Beanie|Black|3d
3644|CattoPunk #9761|67.74989605218053|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9761|Violet|Grey|Orange Beanie|Black|Vr-Blue
3663|CattoPunk #1033|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1033|Orange|Black|Orange Beanie|Black|Vr
3663|CattoPunk #2295|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2295|Orange|Black|Orange Beanie|Black|Green Sunglass
3663|CattoPunk #3409|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3409|Orange|White Lucky Cat|Orange Beanie|Black|Yellow Sunglass
3663|CattoPunk #4238|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4238|Orange|White Lucky Cat|Blue Beanie|Black|Vr-red
3663|CattoPunk #5553|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5553|Orange|Black|Blue Beanie|Black|Vr-red
3663|CattoPunk #8200|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8200|Orange|White Lucky Cat|Orange Beanie|Black|Green Sunglass
3663|CattoPunk #9269|67.74629497167635|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9269|Orange|White Lucky Cat|Orange Beanie|Black|3d
3670|CattoPunk #2724|67.73551760619137|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2724|Yellow|Grey|Blue Beanie|Black|Violet Sunglass
3670|CattoPunk #4873|67.73551760619137|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4873|Yellow|Black|Orange Beanie|Black|Yellow Sunglass
3670|CattoPunk #8431|67.73551760619137|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8431|Yellow|Grey|Orange Beanie|Black|Yellow Sunglass
3670|CattoPunk #9635|67.73551760619137|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9635|Yellow|Black|Orange Beanie|Black|Vr-Blue
3670|CattoPunk #9686|67.73551760619137|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9686|Yellow|Grey|Orange Beanie|Black|Yellow Sunglass
3675|CattoPunk #2527|67.72951496393925|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2527|Violet|White Lucky Cat|Orange Beanie|Black|Orange Sunglass
3675|CattoPunk #3231|67.72951496393925|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3231|Pink|Grey|Blue Beanie|Black|Orange Sunglass
3675|CattoPunk #3878|67.72951496393925|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3878|Blue|White Lucky Cat|Blue Beanie|Black|Orange Sunglass
3675|CattoPunk #4529|67.72951496393925|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4529|Green|Black|Orange Beanie|Black|Orange Sunglass
3675|CattoPunk #6277|67.72951496393925|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6277|Green|Black|Orange Beanie|Black|Orange Sunglass
3680|CattoPunk #9267|67.72591388343506|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9267|Orange|White Lucky Cat|Blue Beanie|Black|Orange Sunglass
3681|CattoPunk #655|67.71513651795007|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/655|Yellow|White Lucky Cat|Orange Beanie|Black|Orange Sunglass
3681|CattoPunk #2906|67.71513651795007|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2906|Yellow|Grey|Orange Beanie|Black|Orange Sunglass
3683|CattoPunk #126|67.69665575419357|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/126|Violet|Ape|Orange Beanie|Cigarette|None
3683|CattoPunk #4095|67.69665575419357|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4095|Pink|BlackWhite|Orange Beanie|Cigarette|None
3683|CattoPunk #4114|67.69665575419357|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4114|Violet|Ape|Orange Beanie|Pipe|None
3683|CattoPunk #7728|67.69665575419357|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7728|Blue|Ape|Blue Beanie|Pipe|None
3683|CattoPunk #8214|67.69665575419357|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/8214|Green|Ape|Blue Beanie|Pipe|None
3688|CattoPunk #2846|67.69305467368939|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2846|Orange|Ape|Orange Beanie|Pipe|None
3688|CattoPunk #6841|67.69305467368939|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6841|Orange|BlackWhite|Blue Beanie|Cigarette|None
3690|CattoPunk #1461|67.69175477350738|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1461|Blue|BlackWhite|Blue Beanie|Spit|None
3691|CattoPunk #3250|67.6881536930032|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3250|Orange|BlackWhite|Orange Beanie|Spit|None
3692|CattoPunk #1668|67.6822773082044|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1668|Yellow|Ape|Blue Beanie|Pipe|None
3692|CattoPunk #9158|67.6822773082044|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/9158|Yellow|BlackWhite|Blue Beanie|Cigarette|None
3694|CattoPunk #318|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/318|Pink|Grey|Punk|Black|Vr-red
3694|CattoPunk #482|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/482|Pink|Black|Punk|Black|Blue Sunglass
3694|CattoPunk #729|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/729|Green|Black|Punk|Black|Yellow Sunglass
3694|CattoPunk #1630|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/1630|Pink|Grey|Punk|Black|Vr-Blue
3694|CattoPunk #2803|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/2803|Violet|Grey|Punk|Black|Blue Sunglass
3694|CattoPunk #3325|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/3325|Violet|Black|Punk|Black|3d
3694|CattoPunk #4321|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/4321|Blue|White Lucky Cat|Punk|Black|Green Sunglass
3694|CattoPunk #5328|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/5328|Green|Grey|Punk|Black|Blue Sunglass
3694|CattoPunk #6397|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/6397|Blue|White Lucky Cat|Punk|Black|Violet Sunglass
3694|CattoPunk #7590|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7590|Blue|White Lucky Cat|Punk|Black|Violet Sunglass
3694|CattoPunk #7897|67.63914300677632|https://quixotic.io/asset/0xd88FB5809a51d5C42fEcF0e69055EEAC0C70b23C/7897|Violet|Black|Punk|Black|Sunglass
