rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
112|Oliens #1518|276.5562318521944|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1517|purple back |bunrt umber ||funny nose |wild mouth |joker eyes ||under shirt ||braid caramel|
113|Oliens #774|276.5430925625816|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/773|black and purple |gray bluish ||Onose |wild mouth |tierd eyes ||black suit & red tie ||oxblood cowboyhat |
114|Oliens #1682|276.0475187239488|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1681|anarchist |gray bluish ||wierd nose |joker mouth|Oeyes ||under shirt ||white long hair |
115|Oliens #577|275.0729077197562|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/576|dark purple back |pale lime yellow ||wierd nose |small lips|sus eyes|eyepatch|light pink cowboy shirt |bitcoin necklce|bald |
116|Oliens #671|274.5735569738997|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/670|420 am |raw umber ||bignose |wide mouth|cool eyes ||fancy dress||braid cherry |
117|Oliens #1790|273.5801699852812|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1789|blackhole |light skin |tear tattoo |Onose |wondering mouth |Oeyes shiny ||triditional robe ||braid black|
118|Oliens #181|273.1446663098437|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/180|light blue |sun burn white skin ||wierd nose |open mouth |bruised eye |purple fire glasses |simple gray vintage shirt ||black long hair |
119|Oliens #1378|272.80223264023584|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1377|glittery night sky |pale lime yellow ||big fat nose |wide mouth|sus eyes||black suit & red tie ||orange long hair |
120|Oliens #861|272.73209218963194|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/860|orange |pink ||Onose |wild mouth |joker eyes ||under shirt ||braid cherry |
121|Oliens #906|271.8300760361794|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/905|stary sky|sun burn white skin ||Onose |wondering mouth |punky eyes |eyepatch|orange shirt with a line ||long braid black |
122|Oliens #1004|271.68288889800687|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1003|black and purple |raw umber ||Onose |wide mouth|tierd eyes ||purple and green shirt ||white long hair |
123|Oliens #2145|271.3246386172983|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2144|dark purple back |bunrt umber ||wierd nose |wild mouth |tierd eyes |eyepatch|simple green Tshirt |gold ring|mohak|
