rank|name|score|link|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style
1346|Genesis Kami #3362|608.4351648519887|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3362|Porpoise fire fairy|Silver berserker|Cream|Sky blue gentle|Red white clown|Silver dot|Haha|Houtai cheek|White cornrow braids|Black kitsune ears|fantasy
1347|Genesis Kami #4461|608.3275853505517|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4461|Porpoise forest fairy|Silver berserker|White|White good boy|Green cyberpunk suit|Black spear|Blue gum|Gold opera kamen|Brown long hair|Black minotaur horn|fantasy
1348|Genesis Kami #4426|608.223471895083|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4426|Slate red fire ghost|None|White|White gentle|Purple cape|Silver chain|Cigar|Doctor glasses|Gray nippon|White cat ears|present
1349|Genesis Kami #2515|608.2216066042424|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2515|Silver|Katana 2|Cream|Purple gentle|Yellow onmyoji|Gold triple ring right|Smile with teeth|Rimless|Gold under cut|Brownish orange kitsune ears|ancient
1350|Genesis Kami #5503|608.1006043742711|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5503|Porpoise|Silver buster sword|Cream|Green determined|White hood|Silver short long|Neutral|Houtai cheek & nose|Mint oppa|Gray baby cat|present
1351|Genesis Kami #488|608.0701442969682|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/488|Colud kase|Purple wand|Brown|Sky blue cold|Red fur|Silver double ring right 2|Mild smile|Houtai nose|White ikemen|Silver sky blue imperial crown s|present
1352|Genesis Kami #201|608.04719281102|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/201|Flint|Katana 1|Brown|Sky blue strained|White red kimono|Silver short long|Neutral|Black mekakushi|Red long hair|Bamboohat|ancient
1353|Genesis Kami #5448|608.0237934900501|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5448|Cyberpunk system|None|Cream|Yellow good boy|Purple white hood|Silver chain|Gritted|Black kamen|Purple nippon|White cat ears|present
1354|Genesis Kami #398|607.9475322779504|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/398|Spruce blue kiminari|Shikigami|White|Green gangsta|Blue binbo|None|Knife|None|Mint under cut|Black tengu|ancient
1355|Genesis Kami #1978|607.8570568863092|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1978|Shadow|Katana 1|White|Red cold|Brown turtle|Black feather|Angry|Megane|Red shonen|Gold sky blue imperial crown s|present
1356|Genesis Kami #4570|607.777079966029|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4570|Sandstone|Katana 1|Cream|Red determined|Gray binbo|Red white fluffy|Gritted|Rimless|Gray long hair|Kitsune mask|ancient
1357|Genesis Kami #4199|607.7363059246261|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4199|Pine|None|White|Black cold|Black shirt|None|Black rose|Megane|Brownish orange japan bangs|Gray baby cat|present
1358|Genesis Kami #3409|607.698603323565|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3409|Seaweed|Purple wand|Gray|White strained|Light gray fur|Black spear|Blue gum|Houtai nose|Red shonen|Rad devil horn|present
1359|Genesis Kami #2486|607.6638655695032|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2486|Seaweed|Gold buster sword|Gray|Sky blue aggressive|White gakuran|Silver spear|Blue gum|Black opera kamen|Gray slick hair|None|present
1360|Genesis Kami #347|607.6317651711694|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/347|Fossil red fire ghost|None|White|Red strained|Red white clown|White skull|Smirk|Black kamen|Black madara|Silver sky blue imperial crown|fantasy
1361|Genesis Kami #5258|607.5966888131751|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5258|Colud kase|Red scythe|White|Red strained|Green cyberpunk suit|Silver double ring right 1|Black rose|Gold opera kamen|Black long hair|Gold red imperial crown|fantasy
1362|Genesis Kami #2151|607.3735570394858|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2151|Pewter|Spear|Cream|Red good boy|Purple onmyoji|White black fluffy|Mild smile|Mommy mask|Gold disheveled|Black tengu|ancient
1363|Genesis Kami #657|607.1964145808794|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/657|Porpoise white red|Red wand|Black|Black angry eyes|Jacket hood|Gold spear|Mild smile|Round glasses small|Brownish orange harajuku|Black cat ears|present
1364|Genesis Kami #5398|607.1438147422011|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5398|Hazel wood dry leaves|Brush|White|Purple gentle|Blue binbo|Silver short long|Smile|None|Brown under cut|Black kitsune ears|ancient
1365|Genesis Kami #3760|606.9706645469951|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3760|Hazulnut grass flower|None|Gray|Sky blue strained|Red onmyoji|Gold short long|Haha|Doctor glasses|Brown ikemen|Black kitsune ears|ancient
1366|Genesis Kami #3056|606.9303682719016|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3056|Shadow|Purple wand|Cream|Yellow good boy|Black hood|Silver double long right|Smile with teeth|Red cyberpunk glasses|White wuxia|Black cat ears|present
1367|Genesis Kami #635|606.917308340961|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/635|Flint|Berserker blade|Cream|Yellow good boy|Purple onmyoji|Gold ring 1|Haha|Black demon mask|White japan bangs|Oni mask|ancient
